Ngày hạch toán,Mã KH,Mã Sản Phẩm,Doanh thu,Giá vốn hàng hóa
1/4/2024,KH-0656,P-245,163485000,108990000
1/4/2024,KH-0074,P-189,255000,170000
1/4/2024,KH-0330,P-362,39480000,26320000
1/4/2024,KH-0678,P-610,126540000,84360000
1/4/2024,KH-0148,P-733,4350000,2900000
1/4/2024,KH-0523,P-665,20970000,13980000
1/4/2024,KH-0587,P-303,231120000,154080000
1/4/2024,KH-0457,P-009,59400000,39600000
1/4/2024,KH-0603,P-185,54600000,36400000
1/4/2024,KH-0522,P-177,403875000,269250000
1/4/2024,KH-0679,P-656,23205000,15470000
1/5/2024,KH-0766,P-020,12510000,8340000
1/5/2024,KH-0395,P-581,34605000,23070000
1/5/2024,KH-0577,P-693,15150000,10100000
1/5/2024,KH-0512,P-672,42000000,28000000
1/5/2024,KH-0403,P-440,72900000,48600000
1/5/2024,KH-0586,P-324,115800000,77200000
1/5/2024,KH-0287,P-452,155250000,103500000
1/5/2024,KH-0551,P-166,130815000,87210000
1/5/2024,KH-0551,P-587,12600000,8400000
1/5/2024,KH-0567,P-577,65415000,43610000
1/5/2024,KH-0590,P-489,795555000,530370000
1/5/2024,KH-0657,P-341,224910000,149940000
1/5/2024,KH-0672,P-011,95310000,63540000
1/5/2024,KH-0433,P-048,110760000,73840000
1/5/2024,KH-0640,P-324,23160000,15440000
1/5/2024,KH-0183,P-668,13050000,8700000
1/5/2024,KH-0045,P-483,10725000,7150000
1/5/2024,KH-0202,P-580,48420000,32280000
1/5/2024,KH-0728,P-363,326655000,217770000
1/5/2024,KH-0145,P-469,11430000,7620000
1/5/2024,KH-0342,P-222,632205000,421470000
1/5/2024,KH-0248,P-461,36750000,24500000
1/5/2024,KH-0365,P-723,18840000,12560000
1/5/2024,KH-0251,P-599,11700000,7800000
1/5/2024,KH-0002,P-613,13875000,9250000
1/5/2024,KH-0015,P-755,4305000,2870000
1/5/2024,KH-0606,P-506,900000,600000
1/5/2024,KH-0024,P-542,720000,480000
1/5/2024,KH-0388,P-731,4155000,2770000
1/5/2024,KH-0660,P-728,21000000,14000000
1/5/2024,KH-0274,P-785,6480000,4320000
1/6/2024,KH-0266,P-290,12825000,8550000
1/6/2024,KH-0569,P-048,41535000,27690000
1/6/2024,KH-0229,P-422,7620000,5080000
1/6/2024,KH-0264,P-457,1710000,1140000
1/6/2024,KH-0242,P-675,1755000,1170000
1/6/2024,KH-0374,P-485,15300000,10200000
1/6/2024,KH-0505,P-251,179460000,119640000
1/6/2024,KH-0468,P-497,99720000,66480000
1/6/2024,KH-0288,P-113,134760000,89840000
1/6/2024,KH-0165,P-585,3600000,2400000
1/6/2024,KH-0690,P-612,37050000,24700000
1/6/2024,KH-0167,P-311,4920000,3280000
1/6/2024,KH-0784,P-604,17100000,11400000
1/6/2024,KH-0015,P-703,3060000,2040000
1/6/2024,KH-0005,P-102,8460000,5640000
1/6/2024,KH-0096,P-469,7620000,5080000
1/6/2024,KH-0316,P-677,5550000,3700000
1/6/2024,KH-0219,P-555,5940000,3960000
1/6/2024,KH-0633,P-321,60450000,40300000
1/6/2024,KH-0185,P-461,3675000,2450000
1/6/2024,KH-0667,P-325,3450000,2300000
1/6/2024,KH-0394,P-338,21795000,14530000
1/6/2024,KH-0077,P-569,1530000,1020000
1/6/2024,KH-0170,P-529,18375000,12250000
1/6/2024,KH-0292,P-317,13320000,8880000
1/6/2024,KH-0117,P-394,4500000,3000000
1/6/2024,KH-0432,P-344,396750000,264500000
1/6/2024,KH-0640,P-752,5400000,3600000
1/6/2024,KH-0172,P-213,179955000,119970000
1/6/2024,KH-0362,P-561,33840000,22560000
1/7/2024,KH-0023,P-455,2385000,1590000
1/7/2024,KH-0727,P-407,64020000,42680000
1/7/2024,KH-0050,P-791,1620000,1080000
1/7/2024,KH-0040,P-305,6120000,4080000
1/7/2024,KH-0210,P-552,170775000,113850000
1/7/2024,KH-0030,P-155,1196550000,797700000
1/7/2024,KH-0477,P-676,2430000,1620000
1/7/2024,KH-0676,P-797,20475000,13650000
1/7/2024,KH-0289,P-636,5340000,3560000
1/7/2024,KH-0770,P-561,33840000,22560000
1/7/2024,KH-0327,P-422,13335000,8890000
1/7/2024,KH-0387,P-197,77700000,51800000
1/7/2024,KH-0781,P-727,48450000,32300000
1/7/2024,KH-0413,P-170,39360000,26240000
1/7/2024,KH-0351,P-645,16875000,11250000
1/7/2024,KH-0753,P-116,37470000,24980000
1/7/2024,KH-0104,P-335,33630000,22420000
1/7/2024,KH-0775,P-121,11835000,7890000
1/7/2024,KH-0169,P-656,26520000,17680000
1/7/2024,KH-0168,P-698,696150000,464100000
1/7/2024,KH-0138,P-441,36720000,24480000
1/7/2024,KH-0245,P-747,5715000,3810000
1/7/2024,KH-0527,P-454,41760000,27840000
1/7/2024,KH-0651,P-751,90000,60000
1/7/2024,KH-0045,P-260,2250000,1500000
1/7/2024,KH-0738,P-417,62565000,41710000
1/7/2024,KH-0195,P-391,498750000,332500000
1/7/2024,KH-0438,P-133,2865000,1910000
1/7/2024,KH-0201,P-406,24930000,16620000
1/7/2024,KH-0064,P-763,12825000,8550000
1/7/2024,KH-0206,P-124,70575000,47050000
1/7/2024,KH-0352,P-349,99120000,66080000
1/8/2024,KH-0403,P-272,129600000,86400000
1/8/2024,KH-0264,P-506,900000,600000
1/8/2024,KH-0409,P-402,4950000,3300000
1/8/2024,KH-0099,P-481,80595000,53730000
1/8/2024,KH-0469,P-111,180150000,120100000
1/8/2024,KH-0373,P-360,234975000,156650000
1/8/2024,KH-0323,P-563,6435000,4290000
1/8/2024,KH-0211,P-408,80025000,53350000
1/8/2024,KH-0485,P-688,1800000,1200000
1/8/2024,KH-0731,P-044,16680000,11120000
1/8/2024,KH-0102,P-219,541800000,361200000
1/8/2024,KH-0299,P-211,46440000,30960000
1/8/2024,KH-0223,P-661,2970000,1980000
1/8/2024,KH-0754,P-791,3780000,2520000
1/8/2024,KH-0605,P-408,80025000,53350000
1/8/2024,KH-0054,P-683,1080000,720000
1/8/2024,KH-0262,P-015,18225000,12150000
1/8/2024,KH-0703,P-129,42060000,28040000
1/9/2024,KH-0226,P-105,135600000,90400000
1/9/2024,KH-0605,P-169,8880000,5920000
1/9/2024,KH-0523,P-343,33285000,22190000
1/9/2024,KH-0001,P-592,3780000,2520000
1/9/2024,KH-0295,P-049,41265000,27510000
1/9/2024,KH-0389,P-184,16350000,10900000
1/9/2024,KH-0115,P-630,17145000,11430000
1/9/2024,KH-0466,P-693,10605000,7070000
1/9/2024,KH-0011,P-769,3105000,2070000
1/9/2024,KH-0539,P-796,58680000,39120000
1/9/2024,KH-0323,P-106,54060000,36040000
1/9/2024,KH-0209,P-403,735000,490000
1/9/2024,KH-0410,P-106,162180000,108120000
1/9/2024,KH-0315,P-667,7140000,4760000
1/9/2024,KH-0367,P-069,11745000,7830000
1/9/2024,KH-0222,P-405,143235000,95490000
1/9/2024,KH-0767,P-555,1980000,1320000
1/9/2024,KH-0140,P-455,7155000,4770000
1/9/2024,KH-0212,P-763,4275000,2850000
1/9/2024,KH-0025,P-122,27750000,18500000
1/9/2024,KH-0158,P-355,203580000,135720000
1/9/2024,KH-0276,P-605,18360000,12240000
1/9/2024,KH-0208,P-598,2700000,1800000
1/9/2024,KH-0187,P-381,13755000,9170000
1/9/2024,KH-0092,P-750,2925000,1950000
1/9/2024,KH-0289,P-390,13545000,9030000
1/9/2024,KH-0535,P-565,4575000,3050000
1/9/2024,KH-0412,P-185,163800000,109200000
1/9/2024,KH-0568,P-227,3060000,2040000
1/9/2024,KH-0068,P-219,180600000,120400000
1/9/2024,KH-0467,P-433,91035000,60690000
1/9/2024,KH-0049,P-621,5520000,3680000
1/9/2024,KH-0558,P-185,81900000,54600000
1/9/2024,KH-0047,P-461,29400000,19600000
1/10/2024,KH-0423,P-412,220875000,147250000
1/10/2024,KH-0641,P-180,24255000,16170000
1/10/2024,KH-0304,P-680,24600000,16400000
1/10/2024,KH-0699,P-620,93420000,62280000
1/10/2024,KH-0368,P-440,97200000,64800000
1/10/2024,KH-0402,P-025,36450000,24300000
1/10/2024,KH-0228,P-120,23820000,15880000
1/10/2024,KH-0136,P-417,312825000,208550000
1/10/2024,KH-0414,P-317,1665000,1110000
1/10/2024,KH-0374,P-135,1050000,700000
1/10/2024,KH-0245,P-030,36750000,24500000
1/10/2024,KH-0417,P-410,37695000,25130000
1/10/2024,KH-0570,P-704,2880000,1920000
1/10/2024,KH-0435,P-266,12600000,8400000
1/10/2024,KH-0557,P-379,37440000,24960000
1/10/2024,KH-0560,P-749,3150000,2100000
1/10/2024,KH-0547,P-436,4620000,3080000
1/10/2024,KH-0556,P-625,11520000,7680000
1/10/2024,KH-0685,P-638,16875000,11250000
1/10/2024,KH-0595,P-595,5760000,3840000
1/10/2024,KH-0022,P-600,9135000,6090000
1/10/2024,KH-0537,P-496,483600000,322400000
1/10/2024,KH-0418,P-326,750000,500000
1/10/2024,KH-0622,P-709,6195000,4130000
1/10/2024,KH-0280,P-357,7935000,5290000
1/10/2024,KH-0603,P-307,54420000,36280000
1/11/2024,KH-0287,P-341,24990000,16660000
1/11/2024,KH-0199,P-619,20640000,13760000
1/11/2024,KH-0257,P-599,3510000,2340000
1/11/2024,KH-0784,P-721,2205000,1470000
1/11/2024,KH-0036,P-438,87480000,58320000
1/11/2024,KH-0292,P-347,354780000,236520000
1/11/2024,KH-0646,P-362,24675000,16450000
1/11/2024,KH-0040,P-410,26925000,17950000
1/11/2024,KH-0011,P-159,684450000,456300000
1/11/2024,KH-0320,P-161,2213700000,1475800000
1/11/2024,KH-0393,P-233,610740000,407160000
1/11/2024,KH-0210,P-671,2925000,1950000
1/11/2024,KH-0215,P-057,38580000,25720000
1/11/2024,KH-0777,P-612,74100000,49400000
1/11/2024,KH-0552,P-663,25890000,17260000
1/11/2024,KH-0531,P-711,20400000,13600000
1/11/2024,KH-0437,P-467,125775000,83850000
1/11/2024,KH-0713,P-760,2610000,1740000
1/11/2024,KH-0130,P-585,4320000,2880000
1/11/2024,KH-0068,P-750,2340000,1560000
1/11/2024,KH-0718,P-657,690000,460000
1/11/2024,KH-0394,P-631,33480000,22320000
1/11/2024,KH-0009,P-457,1140000,760000
1/11/2024,KH-0482,P-320,191160000,127440000
1/11/2024,KH-0771,P-480,16290000,10860000
1/11/2024,KH-0487,P-140,63000000,42000000
1/11/2024,KH-0638,P-786,217500000,145000000
1/11/2024,KH-0369,P-520,39900000,26600000
1/11/2024,KH-0520,P-565,3660000,2440000
1/11/2024,KH-0027,P-666,8280000,5520000
1/11/2024,KH-0059,P-718,7020000,4680000
1/12/2024,KH-0134,P-067,6210000,4140000
1/12/2024,KH-0263,P-125,26640000,17760000
1/12/2024,KH-0567,P-540,8580000,5720000
1/12/2024,KH-0414,P-146,91440000,60960000
1/12/2024,KH-0650,P-526,25950000,17300000
1/12/2024,KH-0454,P-671,5265000,3510000
1/12/2024,KH-0580,P-739,94395000,62930000
1/12/2024,KH-0522,P-313,253260000,168840000
1/12/2024,KH-0319,P-038,43920000,29280000
1/12/2024,KH-0189,P-711,8160000,5440000
1/12/2024,KH-0681,P-504,12450000,8300000
1/12/2024,KH-0122,P-154,394950000,263300000
1/12/2024,KH-0525,P-445,23940000,15960000
1/12/2024,KH-0640,P-757,2880000,1920000
1/12/2024,KH-0758,P-460,3225000,2150000
1/12/2024,KH-0086,P-431,56700000,37800000
1/12/2024,KH-0193,P-381,17685000,11790000
1/12/2024,KH-0163,P-696,180630000,120420000
1/12/2024,KH-0090,P-730,41715000,27810000
1/13/2024,KH-0411,P-208,12285000,8190000
1/13/2024,KH-0761,P-190,2970000,1980000
1/13/2024,KH-0344,P-425,273000000,182000000
1/13/2024,KH-0526,P-279,213480000,142320000
1/13/2024,KH-0679,P-682,10680000,7120000
1/13/2024,KH-0320,P-520,89775000,59850000
1/13/2024,KH-0495,P-347,78840000,52560000
1/13/2024,KH-0377,P-322,12420000,8280000
1/13/2024,KH-0242,P-427,747285000,498190000
1/13/2024,KH-0046,P-769,2070000,1380000
1/13/2024,KH-0602,P-713,1200000,800000
1/13/2024,KH-0040,P-354,7200000,4800000
1/13/2024,KH-0356,P-038,54900000,36600000
1/13/2024,KH-0572,P-208,32760000,21840000
1/13/2024,KH-0001,P-615,20475000,13650000
1/13/2024,KH-0322,P-388,36900000,24600000
1/13/2024,KH-0113,P-299,6210000,4140000
1/13/2024,KH-0737,P-541,42360000,28240000
1/13/2024,KH-0600,P-466,39900000,26600000
1/13/2024,KH-0080,P-773,4950000,3300000
1/13/2024,KH-0212,P-432,154800000,103200000
1/13/2024,KH-0533,P-338,43590000,29060000
1/13/2024,KH-0686,P-044,20850000,13900000
1/13/2024,KH-0285,P-134,9105000,6070000
1/13/2024,KH-0267,P-159,684450000,456300000
1/14/2024,KH-0510,P-589,9450000,6300000
1/14/2024,KH-0683,P-505,135900000,90600000
1/14/2024,KH-0728,P-583,7350000,4900000
1/14/2024,KH-0479,P-327,1800000,1200000
1/14/2024,KH-0144,P-080,57600000,38400000
1/14/2024,KH-0236,P-161,1328220000,885480000
1/14/2024,KH-0445,P-776,5370000,3580000
1/14/2024,KH-0032,P-246,30450000,20300000
1/14/2024,KH-0608,P-123,47475000,31650000
1/14/2024,KH-0705,P-187,34440000,22960000
1/14/2024,KH-0583,P-720,42150000,28100000
1/14/2024,KH-0465,P-145,260100000,173400000
1/14/2024,KH-0478,P-631,11160000,7440000
1/14/2024,KH-0491,P-028,15450000,10300000
1/14/2024,KH-0108,P-675,1365000,910000
1/14/2024,KH-0639,P-576,10500000,7000000
1/14/2024,KH-0285,P-074,15390000,10260000
1/14/2024,KH-0153,P-347,197100000,131400000
1/14/2024,KH-0352,P-325,1725000,1150000
1/14/2024,KH-0334,P-709,7965000,5310000
1/15/2024,KH-0563,P-047,63525000,42350000
1/15/2024,KH-0484,P-347,197100000,131400000
1/15/2024,KH-0163,P-384,17550000,11700000
1/15/2024,KH-0582,P-564,360000,240000
1/15/2024,KH-0558,P-422,15240000,10160000
1/15/2024,KH-0297,P-779,1575000,1050000
1/15/2024,KH-0448,P-421,65475000,43650000
1/15/2024,KH-0669,P-394,6750000,4500000
1/15/2024,KH-0340,P-170,24600000,16400000
1/15/2024,KH-0652,P-686,3960000,2640000
1/15/2024,KH-0403,P-499,1155000,770000
1/15/2024,KH-0066,P-424,19470000,12980000
1/15/2024,KH-0458,P-799,525000,350000
1/15/2024,KH-0156,P-636,13350000,8900000
1/15/2024,KH-0514,P-097,6960000,4640000
1/15/2024,KH-0354,P-322,18630000,12420000
1/15/2024,KH-0646,P-259,195000,130000
1/15/2024,KH-0130,P-366,3840000,2560000
1/15/2024,KH-0571,P-135,2625000,1750000
1/15/2024,KH-0152,P-281,171780000,114520000
1/15/2024,KH-0041,P-266,14175000,9450000
1/15/2024,KH-0249,P-689,41475000,27650000
1/15/2024,KH-0307,P-090,7170000,4780000
1/15/2024,KH-0718,P-448,42120000,28080000
1/15/2024,KH-0082,P-557,53280000,35520000
1/15/2024,KH-0776,P-365,46560000,31040000
1/15/2024,KH-0489,P-429,209055000,139370000
1/15/2024,KH-0681,P-715,118260000,78840000
1/15/2024,KH-0128,P-174,164160000,109440000
1/15/2024,KH-0193,P-309,192915000,128610000
1/15/2024,KH-0573,P-681,16500000,11000000
1/15/2024,KH-0628,P-781,6420000,4280000
1/15/2024,KH-0175,P-394,750000,500000
1/15/2024,KH-0298,P-306,287100000,191400000
1/15/2024,KH-0305,P-297,277200000,184800000
1/15/2024,KH-0683,P-509,3600000,2400000
1/15/2024,KH-0598,P-568,244440000,162960000
1/15/2024,KH-0649,P-299,6210000,4140000
1/15/2024,KH-0679,P-722,46620000,31080000
1/15/2024,KH-0168,P-339,1905000,1270000
1/15/2024,KH-0137,P-109,85680000,57120000
1/15/2024,KH-0449,P-624,37170000,24780000
1/15/2024,KH-0724,P-309,150045000,100030000
1/16/2024,KH-0537,P-763,14250000,9500000
1/16/2024,KH-0732,P-319,15240000,10160000
1/16/2024,KH-0489,P-357,55545000,37030000
1/16/2024,KH-0252,P-388,43050000,28700000
1/16/2024,KH-0109,P-778,8100000,5400000
1/16/2024,KH-0358,P-565,9150000,6100000
1/16/2024,KH-0720,P-368,28800000,19200000
1/16/2024,KH-0582,P-085,46680000,31120000
1/16/2024,KH-0145,P-023,63105000,42070000
1/16/2024,KH-0412,P-709,4425000,2950000
1/16/2024,KH-0754,P-596,2160000,1440000
1/16/2024,KH-0056,P-690,34575000,23050000
1/16/2024,KH-0246,P-429,119460000,79640000
1/16/2024,KH-0725,P-429,179190000,119460000
1/16/2024,KH-0498,P-285,25800000,17200000
1/16/2024,KH-0687,P-392,201600000,134400000
1/16/2024,KH-0627,P-294,150000,100000
1/16/2024,KH-0084,P-144,100680000,67120000
1/16/2024,KH-0262,P-471,11070000,7380000
1/16/2024,KH-0069,P-196,192120000,128080000
1/16/2024,KH-0120,P-124,70575000,47050000
1/16/2024,KH-0267,P-784,2400000,1600000
1/16/2024,KH-0386,P-466,63840000,42560000
1/16/2024,KH-0678,P-611,63840000,42560000
1/17/2024,KH-0058,P-650,255000,170000
1/17/2024,KH-0058,P-761,19500000,13000000
1/17/2024,KH-0333,P-397,10050000,6700000
1/17/2024,KH-0499,P-762,29280000,19520000
1/17/2024,KH-0712,P-058,131280000,87520000
1/17/2024,KH-0771,P-376,161280000,107520000
1/17/2024,KH-0025,P-708,300000,200000
1/17/2024,KH-0499,P-136,19635000,13090000
1/17/2024,KH-0338,P-135,2625000,1750000
1/17/2024,KH-0586,P-675,1755000,1170000
1/17/2024,KH-0526,P-238,1200000,800000
1/17/2024,KH-0438,P-329,200700000,133800000
1/17/2024,KH-0669,P-026,6750000,4500000
1/17/2024,KH-0374,P-574,2430000,1620000
1/17/2024,KH-0085,P-207,22050000,14700000
1/17/2024,KH-0242,P-482,53010000,35340000
1/17/2024,KH-0339,P-424,58410000,38940000
1/17/2024,KH-0068,P-790,7920000,5280000
1/17/2024,KH-0102,P-422,1905000,1270000
1/17/2024,KH-0383,P-252,2400000,1600000
1/17/2024,KH-0159,P-586,1620000,1080000
1/17/2024,KH-0079,P-248,705000,470000
1/17/2024,KH-0565,P-370,180240000,120160000
1/17/2024,KH-0337,P-178,142335000,94890000
1/17/2024,KH-0764,P-721,3150000,2100000
1/17/2024,KH-0474,P-533,22995000,15330000
1/18/2024,KH-0325,P-073,29385000,19590000
1/18/2024,KH-0279,P-380,480000,320000
1/18/2024,KH-0125,P-626,6450000,4300000
1/18/2024,KH-0451,P-385,25650000,17100000
1/18/2024,KH-0308,P-312,30300000,20200000
1/18/2024,KH-0046,P-529,23625000,15750000
1/18/2024,KH-0735,P-262,46410000,30940000
1/18/2024,KH-0688,P-651,5220000,3480000
1/18/2024,KH-0231,P-509,5040000,3360000
1/18/2024,KH-0181,P-296,2160000,1440000
1/18/2024,KH-0399,P-490,1658475000,1105650000
1/18/2024,KH-0139,P-467,209625000,139750000
1/18/2024,KH-0733,P-706,59520000,39680000
1/18/2024,KH-0407,P-023,27045000,18030000
1/18/2024,KH-0429,P-118,12390000,8260000
1/18/2024,KH-0301,P-050,11850000,7900000
1/18/2024,KH-0432,P-303,385200000,256800000
1/18/2024,KH-0137,P-212,8610000,5740000
1/18/2024,KH-0612,P-343,28530000,19020000
1/18/2024,KH-0171,P-650,1785000,1190000
1/18/2024,KH-0089,P-354,7200000,4800000
1/18/2024,KH-0229,P-508,6075000,4050000
1/18/2024,KH-0026,P-502,332505000,221670000
1/18/2024,KH-0710,P-417,437955000,291970000
1/18/2024,KH-0418,P-440,60750000,40500000
1/18/2024,KH-0423,P-399,2220000,1480000
1/18/2024,KH-0192,P-559,101385000,67590000
1/18/2024,KH-0628,P-152,1000380000,666920000
1/19/2024,KH-0339,P-651,5220000,3480000
1/19/2024,KH-0479,P-124,28230000,18820000
1/19/2024,KH-0046,P-532,585000,390000
1/19/2024,KH-0175,P-654,240000,160000
1/19/2024,KH-0187,P-704,1440000,960000
1/19/2024,KH-0425,P-589,5400000,3600000
1/19/2024,KH-0334,P-513,7800000,5200000
1/19/2024,KH-0754,P-342,91740000,61160000
1/19/2024,KH-0051,P-187,17220000,11480000
1/19/2024,KH-0468,P-722,31080000,20720000
1/19/2024,KH-0784,P-756,240165000,160110000
1/19/2024,KH-0087,P-778,5400000,3600000
1/19/2024,KH-0315,P-715,206955000,137970000
1/19/2024,KH-0236,P-762,10980000,7320000
1/19/2024,KH-0729,P-526,129750000,86500000
1/19/2024,KH-0090,P-681,11550000,7700000
1/19/2024,KH-0211,P-302,167475000,111650000
1/19/2024,KH-0713,P-482,17670000,11780000
1/19/2024,KH-0774,P-668,8700000,5800000
1/19/2024,KH-0248,P-384,17550000,11700000
1/19/2024,KH-0152,P-159,1711125000,1140750000
1/19/2024,KH-0592,P-069,11745000,7830000
1/19/2024,KH-0036,P-312,30300000,20200000
1/19/2024,KH-0612,P-064,18075000,12050000
1/19/2024,KH-0459,P-629,765000,510000
1/20/2024,KH-0503,P-559,90120000,60080000
1/20/2024,KH-0228,P-201,23400000,15600000
1/20/2024,KH-0652,P-283,475080000,316720000
1/20/2024,KH-0289,P-357,63480000,42320000
1/20/2024,KH-0439,P-431,16200000,10800000
1/20/2024,KH-0597,P-338,217950000,145300000
1/20/2024,KH-0442,P-751,240000,160000
1/20/2024,KH-0252,P-465,187800000,125200000
1/20/2024,KH-0038,P-739,107880000,71920000
1/20/2024,KH-0641,P-041,17760000,11840000
1/20/2024,KH-0755,P-571,81000000,54000000
1/20/2024,KH-0553,P-359,3780000,2520000
1/20/2024,KH-0064,P-164,43560000,29040000
1/20/2024,KH-0772,P-709,6195000,4130000
1/20/2024,KH-0512,P-161,1106850000,737900000
1/20/2024,KH-0205,P-425,54600000,36400000
1/20/2024,KH-0508,P-570,4455000,2970000
1/20/2024,KH-0116,P-450,27315000,18210000
1/20/2024,KH-0354,P-799,105000,70000
1/20/2024,KH-0085,P-349,198240000,132160000
1/21/2024,KH-0076,P-243,16515000,11010000
1/21/2024,KH-0420,P-303,231120000,154080000
1/21/2024,KH-0190,P-234,2525100000,1683400000
1/21/2024,KH-0738,P-531,7560000,5040000
1/21/2024,KH-0011,P-030,15750000,10500000
1/21/2024,KH-0744,P-601,4980000,3320000
1/21/2024,KH-0137,P-569,5100000,3400000
1/21/2024,KH-0153,P-052,240000,160000
1/21/2024,KH-0778,P-729,39540000,26360000
1/21/2024,KH-0218,P-317,3330000,2220000
1/21/2024,KH-0704,P-428,91770000,61180000
1/21/2024,KH-0516,P-490,1658475000,1105650000
1/21/2024,KH-0733,P-703,7140000,4760000
1/21/2024,KH-0007,P-240,251100000,167400000
1/21/2024,KH-0593,P-728,30000000,20000000
1/21/2024,KH-0318,P-064,21690000,14460000
