Mã KH,Khách hàng,Nhãn
KH-0144,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ PHÚ SINH KIM,Dịch vụ
KH-0145,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI,Dịch vụ
KH-0146,LIÊN ĐOÀN BÓNG ĐÁ NAUY,Khác
KH-0147,Công TY TNHH Công nghệ Nettop Việt Nam,Công nghệ
KH-0148,Công Ty TNHH Sojitz Viet Nam,Công nghệ
KH-0149,CÔNG TY CỔ PHẦN ZAKKA,Khác
KH-0150,CÔNG TY TNHH THƯƠNG MẠI VÀ PHÁT TRIỂN CÔNG NGHỆ AE VIỆT NAM,Công nghệ
KH-0151,Công Ty Cổ Phần Style Stone,Khác
KH-0152,CÔNG TY CỔ PHẦN THÁI MINH,Khác
KH-0153,Công Ty CP Công Nghệ Kỹ Thuật Số - HiTD,Công nghệ
KH-0154,CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP VÀ CHUYỂN GIAO CÔNG NGHỆ VIỆT THẮNG,Công nghệ
KH-0155,Nhà máy sữa đậu nành Việt Nam Vinasoy - Chi nhánh Công ty Cổ phần Đường Quảng Ngãi,Sản xuất
KH-0156,Công ty TNHH Xây dựng C.A.D,Xây dựng
KH-0157,CÔNG TY TNHH YOUNGONE NAM ĐỊNH,Khác
KH-0158,Chi Nhánh công ty TNHH Em-Tech Việt Nam tại Nghệ An,Công nghệ
KH-0159,Chi nhánh Công ty TNHH Bơm EBARA Việt Nam tại Hà Nội,Công nghệ
KH-0160,CÔNG TY TNHH CÔNG NGHỆ CAO BÁCH KHOA,Công nghệ
KH-0161,Công Ty TNHH Bao Bì MM Vidon,Sản xuất
KH-0162,Công Ty TNHH Menkar,Công nghệ
KH-0163,Công ty TNHH Một Thành Viên Việt Giay,Khác
KH-0164,TRƯỜNG TIỂU HỌC DÂN LẬP VIỆT MỸ,Khác
KH-0165,TRƯỜNG THCS VIỆT MỸ,Khác
KH-0166,CÔNG TY TNHH CÔNG NGHỆ 360 VIỆT NAM,Công nghệ
KH-0167,CÔNG TY TNHH MỘT THÀNH VIÊN TÍN PHÁT COMPUTER,Khác
KH-0168,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN VIỆT NAM,Công nghệ
KH-0169,CÔNG TY TNHH THƯƠNG MẠI KẾT NỐI AN TOÀN,Khác
KH-0170,Công ty TNHH Pacisoft Việt Nam,Sản xuất
KH-0171,CÔNG TY TNHH MÁY TÍNH ĐỨC AN,Công nghệ
KH-0172,Công ty TNHH Silver Heritage Việt Nam.,Công nghệ
KH-0173,CÔNG TY CỔ PHẦN TÍCH HỢP GIẢI PHÁP KST,Dịch vụ
KH-0174,CÔNG TY TNHH GIẢI PHÁP AN NINH KẾT NỐI CÔNG NGHỆ CAO,Công nghệ
KH-0175,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TSC VIỆT NAM,Công nghệ
KH-0176,CÔNG TY TNHH KDDI VIỆT NAM,Khác
KH-0177,CÔNG TY VNPT GLOBAL HK LTD,Khác
KH-0178,CÔNG TY TNHH MỘT THÀNH VIÊN XĂNG DẦU BẾN TRE,Năng lượng
KH-0179,CÔNG TY TNHH GIANG KHÁNH VINH,Khác
KH-0180,Công Ty TNHH Draeger Việt Nam,Khác
KH-0181,Công ty TNHH Thakral One – Chi nhánh tại Hà Nội,Khác
KH-0182,CÔNG TY TNHH  MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ THỊNH PHÁT COMPUTER,Dịch vụ
KH-0183,CÔNG TY CỔ PHẦN TRIHAN,Khác
KH-0184,Chi nhánh Công ty cổ phần kho vận Jupiter Việt Nam tại Hà Nội,Công nghệ
KH-0185,Chi nhánh công ty cổ phần giao nhận hàng hoá JUPITER- PACIFIC tại thành phố Hà Nội,Công nghệ
KH-0186,CÔNG TY TNHH OVI CABLES (VIỆT NAM),Khác
KH-0187,CÔNG TY CỔ PHẦN ĐIỆN LỰC KHÁNH HÒA,Năng lượng
KH-0188,Công ty TNHH công nghiệp ADCEL Việt Nam,Sản xuất
KH-0189,CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ ALSOK VIỆT NAM,Dịch vụ
KH-0190,Công ty TNHH Công nghệ Info Việt Nam,Công nghệ
KH-0191,CÔNG TY TNHH VIETTEL - CHT,Khác
KH-0192,HỢP TÁC XÃ MÂY TRE LÁ BA NHẤT,Khác
KH-0193,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ TIẾN THÀNH,Khác
KH-0194,CÔNG TY TNHH ESOFTFLOW,Khác
KH-0195,CÔNG TY TNHH FUJI SEAL VIỆT NAM,Khác
KH-0196,CÔNG TY CP MÁY TÍNH – TRUYỀN THÔNG- ĐIỀU KHIỂN 3C,Công nghệ
KH-0197,CÔNG TY TNHH IMAX,Khác
KH-0198,CÔNG TY TNHH CÔNG TY KHAI THÁC ĐÁ VÔI YABASHI VIỆT NAM,Công nghệ
KH-0199,CÔNG TY CỔ PHẦN REECOM GROUP,Khác
KH-0200,CÔNG TY TNHH PHÁT TRIỂN NAM HỘI AN,Khác
KH-0201,CÔNG TY TNHH SHIFT ASIA,Khác
KH-0202,Công ty CP Giải pháp Siêu Việt,Dịch vụ
KH-0203,Công Ty TNHH ENKEI Việt Nam,Khác
KH-0204,CÔNG TY CỔ PHẦN DFM-ENGINEERING,Khác
KH-0205,CÔNG TY TNHH THIẾT BỊ PHỤ TÙNG CÔNG NGHIỆP VIỆT NAM,Sản xuất
KH-0206,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ DU LỊCH SONG ANH,Dịch vụ
KH-0207,CÔNG TY TNHH CÔNG NGHIỆP FULLWEI VIỆT NAM,Sản xuất
KH-0208,CÔNG TY TNHH THIẾT BỊ IN SPM,Sản xuất
KH-0209,VĂN PHÒNG ĐĂNG KÝ ĐẤT ĐAI TỈNH BẮC NINH,Công nghệ
KH-0210,CÔNG TY TNHH MẠNG THÔNG TIN PHẲNG,Công nghệ
KH-0211,CÔNG TY TNHH KONDO TEKKO VIỆT NAM,Khác
KH-0212,CÔNG TY TNHH DONGSUNG VINA,Khác
KH-0213,CÔNG TY CỔ PHẦN CÔNG NGHỆ & KHOA HỌC SÔNG HỒNG,Công nghệ
KH-0214,CÔNG TY CỔ PHẦN ĐẤT HIẾM VIỆT NAM,Khác
KH-0215,CÔNG TY CỔ PHẦN PHẦN MỀM QUẢN LÝ DOANH NGHIỆP,Công nghệ
KH-0216,CÔNG TY TRÁCH NHIỆM HỮU HẠN INOAC VIỆT NAM,Khác
KH-0217,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ DDN,Dịch vụ
KH-0218,CÔNG TY CỔ PHẦN TƯ VẤN VÀ DỊCH VỤ CÔNG NGHỆ THÔNG TIN KINH DOANH MẠNG LƯỚI CÔNG NGHỆ CAO,Công nghệ
KH-0219,ASPEN RESOURCES PTE LTD,Khác
KH-0220,CÔNG TY TNHH BAO BÌ NEXGEN VIỆT NAM,Sản xuất
KH-0221,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TIN HỌC KHÁNH PHƯƠNG,Công nghệ
KH-0222,CÔNG TY CỔ PHẦN I.P.L,Khác
KH-0223,CÔNG TY TNHH THÀNH LỢI,Khác
KH-0224,Chi nhánh Công Ty TNHH Mazars Việt Nam Tại Hà Nội,Công nghệ
KH-0225,CÔNG TY TNHH BƠM EBARA VIỆT NAM,Công nghệ
KH-0226,CÔNG TY TNHH BR24 VIETNAM,Khác
KH-0227,CÔNG TY TNHH CANON MARKETING VIỆT NAM,Công nghệ
KH-0228,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HÓA NỘI BÀI,Dịch vụ
KH-0229,CÔNG TY CỔ PHẦN VIỄN THÔNG GIANG NAM,Công nghệ
KH-0230,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu Khôi Nguyên,Dịch vụ
KH-0231,CÔNG TY CỔ PHẦN CAO SU SAO VÀNG,Khác
KH-0232,CÔNG TY TNHH MỘT THÀNH VIÊN ESPERSEN VIỆT NAM,Khác
KH-0233,CÔNG TY TNHH VIỆT PAN - PACIFIC THANH HÓA,Năng lượng
KH-0234,Công Ty TNHH Umec Việt Nam,Khác
KH-0235,CÔNG TY CỔ PHẦN CÔNG NGHỆ MÁY TÍNH VÀ KIẾN TRÚC HÀ NỘI,Công nghệ
KH-0236,CÔNG TY CỔ PHẦN CÔNG NGHỆ THIÊN VẬN,Công nghệ
KH-0237,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ ỨNG DỤNG TOÀN CẦU,Công nghệ
KH-0238,CÔNG TY TNHH PHẦN MỀM FPT,Công nghệ
KH-0239,CỔNG THÔNG TIN ĐIỆN TỬ NGHỆ AN,Công nghệ
KH-0240,Công ty TNHH Extrans Việt Nam,Khác
KH-0241,Công ty TNHH May Xuất Nhập Khẩu Đức Thành 3,Sản xuất
KH-0242,CÔNG TY CỔ PHẦN HÃNG SƠN ĐÔNG Á,Xây dựng
KH-0243,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VIỆT SAO,Công nghệ
KH-0244,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU HSC39,Sản xuất
KH-0245,CÔNG TY TNHH HONDA TRADING VIỆT NAM,Khác
KH-0246,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MITU,Công nghệ
KH-0247,Công ty CP Dịch vụ Công nghệ Tin học HPT,Công nghệ
KH-0248,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,Khác
KH-0249,CHI NHÁNH CSP LEGAL LLC TẠI HÀ NỘI,Dịch vụ
KH-0250,CÔNG TY TNHH MỘT THÀNH VIÊN KARCHER,Công nghệ
KH-0251,CÔNG TY TNHH NETMARKS VIỆT NAM,Công nghệ
KH-0252,CÔNG TY TNHH MOBILE MAPPING VIỆT NAM,Công nghệ
KH-0253,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM PHÚC LỘC THỌ,Sản xuất
KH-0254,CÔNG TY TNHH LG ELECTRONICS VIỆT NAM HẢI PHÒNG,Công nghệ
KH-0255,"ACE TECH Co., Ltd",Công nghệ
KH-0256,Công Ty Cổ Phần Chăm Sóc Công Nghệ Thông Tin,Công nghệ
KH-0257,CÔNG TY CỔ PHẦN CÔNG NGHỆ BNH VIỆT NAM,Công nghệ
KH-0258,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUỐC TẾ HOÀN CẦU,Khác
KH-0259,KRYSTAD CONSULT,Khác
KH-0260,CÔNG TY TNHH VALQUA VIỆT NAM,Khác
KH-0261,Cục đăng kiểm Việt Nam,Khác
KH-0262,CÔNG TY CỔ PHẦN CÔNG NGHỆ TÂM HỢP NHẤT,Công nghệ
KH-0263,Công ty TNHH Thịnh Phát Auto,Khác
KH-0264,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG,Dịch vụ
KH-0265,CÔNG TY CỔ PHẦN FOODY,Khác
KH-0266,CÔNG TY CỔ PHẦN CÔNG NGHỆ BÌNH MINH,Công nghệ
KH-0267,Khách hàng mua lẻ-Giao hàng thu tiền ngay,Khác
KH-0268,Công ty TNHH Netika Business Solution Việt Nam,Khác
KH-0269,Công ty TNHH Quốc tế Delta,Khác
KH-0270,CÔNG TY TNHH GEROC,Khác
KH-0271,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ VÀ THƯƠNG MẠI TRÚC VÂN,Công nghệ
KH-0272,Công ty Cổ Phần Thiết Bị Máy Tính An Phú Hưng,Công nghệ
KH-0273,CÔNG TY CỔ PHẦN CÔNG NGHỆ SOTA VIỆT NAM,Công nghệ
KH-0274,CÔNG TY TRÁCH NHIỆM HỮU HẠN IMG VIỆT NAM,Khác
KH-0275,CÔNG TY CP IN MINH PHƯƠNG,Khác
KH-0276,Công ty TNHH Thương mại dịch vụ Triparest,Công nghệ
KH-0277,BƯU ĐIỆN TỈNH SƠN LA,Năng lượng
KH-0278,CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.O,Khác
KH-0279,Công Ty TNHH Yoosung KN Việt Nam,Khác
KH-0280,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI KHO ĐỎ,Dịch vụ
KH-0281,CÔNG TY TNHH BOTANICAL COSMETIC,Khác
KH-0282,CÔNG TY TNHH SIÊU SIÊU NHỎ,Khác
KH-0283,CÔNG TY CỔ PHẦN ĐẦU TƯ SMART FUN,Công nghệ
KH-0284,CÔNG TY TNHH BESTPLANT,Khác
KH-0285,CÔNG TY TNHH THÔNG TIN NTT (VIỆT NAM),Khác
KH-0286,CÔNG TY TNHH DAN TI,Khác
KH-0287,CÔNG TY TNHH NAM&CO LONDON,Khác
KH-0288,CÔNG TY CỔ PHẦN DỊCH VỤ GIẢI PHÁP CÔNG NGHỆ MẠNG 10,Công nghệ
KH-0289,CÔNG TY TNHH SỮA CHO TƯƠNG LAI,Công nghệ
KH-0290,CÔNG TY CỔ PHẦN ĐIỆN VÀ CHIẾU SÁNG AN PHÚ,Năng lượng
KH-0291,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ BẤT ĐỘNG SẢN HÒA BÌNH - KHÁCH SẠN NOVOTEL SUITES HÀ NỘI,Công nghệ
KH-0292,CÔNG TY TNHH CƠ ĐIỆN LẠNH - THƯƠNG MẠI HÒA BÌNH,Năng lượng
KH-0293,Công ty TNHH Công nghiệp nặng Doosan Việt Nam,Sản xuất
KH-0294,Ngân Hàng Thương Mại Cổ Phần Kỹ Thương Việt Nam,Dịch vụ
KH-0295,Công Ty Cổ Phần Công Nghệ Sao Bắc Đẩu,Công nghệ
KH-0296,Chi Nhánh CTy TNHH CARGILL Việt Nam  tại Hưng yên,Công nghệ
KH-0297,Công ty TNHH Quảng cáo Duy Nguyên,Dịch vụ
KH-0298,Công Ty Cổ Phần Thương Mại Và Công Nghệ Thông Tin Tân Việt,Công nghệ
KH-0299,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DU LỊCH TẦM NHÌN VIỆT,Dịch vụ
KH-0300,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI ĐIỆN BÌNH SƠN,Năng lượng
KH-0301,Công Ty TNHH Một Thành Viên Techcoms,Công nghệ
KH-0302,Công ty Cổ Phần Visco,Khác
KH-0303,Công ty cổ phần 3B,Khác
KH-0304,Công Ty Cổ Phần Đầu Tư Xây Dựng Thương Mại Công Nghệ Thăng Long,Công nghệ
KH-0305,Phòng Tài Vụ - Viện Quy Hoạch Thủy Lợi,Xây dựng
KH-0306,TRUNG TÂM PHÁT TRIỂN THƯƠNG MẠI ĐIỆN TỬ,Công nghệ
KH-0307,NGÂN HÀNG HỢP TÁC XÃ VIỆT NAM,Dịch vụ
KH-0308,Công ty TNHH Medikit Việt Nam,Công nghệ
KH-0309,Công Ty TNHH Thương Mại Hoàng Phát,Khác
KH-0310,Công ty Cổ phần Sản xuất và Dịch vụ Máy tính 3C,Công nghệ
