Ngày hạch toán,Tháng,Đơn hàng,Mã KH,Mã Sản Phẩm,Số lượng bán,Đơn giá,Doanh thu,Giá vốn hàng hóa,Mã nhân viên bán,Chi nhánh,,Chi nhánh,
1/5/2024,1,ĐH6160437,KH-0766,P-020,6,2085000,12510000,8340000,NV016,CN HCM,,,
1/5/2024,1,ĐH4405709,KH-0403,P-440,6,12150000,72900000,48600000,NV078,CN HCM,,,
1/5/2024,1,ĐH4420008,KH-0551,P-587,7,1800000,12600000,8400000,NV136,CN HCM,,,
1/5/2024,1,ĐH4534674,KH-0657,P-341,9,24990000,224910000,149940000,NV118,CN HCM,,,
1/5/2024,1,ĐH2452625,KH-0672,P-011,6,15885000,95310000,63540000,NV174,CN HCM,,,
1/5/2024,1,ĐH2783558,KH-0145,P-469,6,1905000,11430000,7620000,NV115,CN HCM,,,
1/5/2024,1,ĐH8905246,KH-0342,P-222,9,70245000,632205000,421470000,NV047,CN HCM,,,
1/5/2024,1,ĐH9071543,KH-0365,P-723,8,2355000,18840000,12560000,NV011,CN HCM,,,
1/5/2024,1,ĐH4695292,KH-0251,P-599,10,1170000,11700000,7800000,NV201,CN HCM,,,
1/5/2024,1,ĐH3296529,KH-0606,P-506,3,300000,900000,600000,NV113,CN HCM,,,
1/5/2024,1,ĐH6403918,KH-0024,P-542,3,240000,720000,480000,NV065,CN HCM,,,
1/6/2024,1,ĐH3146752,KH-0569,P-048,3,13845000,41535000,27690000,NV132,CN HCM,,,
1/6/2024,1,ĐH3091091,KH-0229,P-422,4,1905000,7620000,5080000,NV241,CN HCM,,,
1/6/2024,1,ĐH8572888,KH-0374,P-485,4,3825000,15300000,10200000,NV020,CN HCM,,,
1/6/2024,1,ĐH6969072,KH-0015,P-703,3,1020000,3060000,2040000,NV114,CN HCM,,,
1/6/2024,1,ĐH9312313,KH-0394,P-338,1,21795000,21795000,14530000,NV059,CN HCM,,,
1/6/2024,1,ĐH8082775,KH-0170,P-529,7,2625000,18375000,12250000,NV172,CN HCM,,,
1/6/2024,1,ĐH9951098,KH-0362,P-561,4,8460000,33840000,22560000,NV215,CN HCM,,,
1/7/2024,1,ĐH2340227,KH-0477,P-676,6,405000,2430000,1620000,NV173,CN HCM,,,
1/7/2024,1,ĐH7367712,KH-0289,P-636,4,1335000,5340000,3560000,NV181,CN HCM,,,
1/7/2024,1,ĐH6383033,KH-0781,P-727,5,9690000,48450000,32300000,NV123,CN HCM,,,
1/7/2024,1,ĐH2578102,KH-0104,P-335,2,16815000,33630000,22420000,NV213,CN HCM,,,
1/7/2024,1,ĐH5798525,KH-0169,P-656,8,3315000,26520000,17680000,NV180,CN HCM,,,
1/7/2024,1,ĐH4809116,KH-0527,P-454,3,13920000,41760000,27840000,NV164,CN HCM,,,
1/7/2024,1,ĐH4846881,KH-0438,P-133,1,2865000,2865000,1910000,NV196,CN HCM,,,
1/7/2024,1,ĐH1412267,KH-0201,P-406,3,8310000,24930000,16620000,NV164,CN HCM,,,
1/7/2024,1,ĐH5688869,KH-0352,P-349,4,24780000,99120000,66080000,NV198,CN HCM,,,
1/8/2024,1,ĐH3003839,KH-0099,P-481,9,8955000,80595000,53730000,NV024,CN HCM,,,
1/8/2024,1,ĐH9598100,KH-0323,P-563,3,2145000,6435000,4290000,NV138,CN HCM,,,
1/8/2024,1,ĐH6667648,KH-0211,P-408,5,16005000,80025000,53350000,NV113,CN HCM,,,
1/8/2024,1,ĐH3158659,KH-0299,P-211,4,11610000,46440000,30960000,NV206,CN HCM,,,
1/8/2024,1,ĐH4797186,KH-0605,P-408,5,16005000,80025000,53350000,NV227,CN HCM,,,
1/8/2024,1,ĐH7075148,KH-0262,P-015,5,3645000,18225000,12150000,NV092,CN HCM,,,
1/9/2024,1,ĐH4720113,KH-0226,P-105,10,13560000,135600000,90400000,NV096,CN HCM,,,
1/9/2024,1,ĐH4162653,KH-0389,P-184,5,3270000,16350000,10900000,NV028,CN HCM,,,
1/9/2024,1,ĐH9729627,KH-0323,P-106,2,27030000,54060000,36040000,NV016,CN HCM,,,
1/9/2024,1,ĐH9848700,KH-0367,P-069,9,1305000,11745000,7830000,NV169,CN HCM,,,
1/9/2024,1,ĐH1134609,KH-0025,P-122,10,2775000,27750000,18500000,NV151,CN HCM,,,
1/9/2024,1,ĐH7586616,KH-0276,P-605,9,2040000,18360000,12240000,NV087,CN HCM,,,
1/9/2024,1,ĐH7326036,KH-0187,P-381,7,1965000,13755000,9170000,NV095,CN HCM,,,
1/9/2024,1,ĐH7941892,KH-0092,P-750,5,585000,2925000,1950000,NV125,CN HCM,,,
1/9/2024,1,ĐH5034659,KH-0289,P-390,7,1935000,13545000,9030000,NV083,CN HCM,,,
1/9/2024,1,ĐH4300750,KH-0412,P-185,6,27300000,163800000,109200000,NV025,CN HCM,,,
1/9/2024,1,ĐH3284267,KH-0467,P-433,3,30345000,91035000,60690000,NV237,CN HCM,,,
1/9/2024,1,ĐH8910934,KH-0558,P-185,3,27300000,81900000,54600000,NV229,CN HCM,,,
1/9/2024,1,ĐH4425436,KH-0047,P-461,8,3675000,29400000,19600000,NV185,CN HCM,,,
1/10/2024,1,ĐH8003217,KH-0423,P-412,5,44175000,220875000,147250000,NV230,CN HCM,,,
1/10/2024,1,ĐH3653087,KH-0699,P-620,9,10380000,93420000,62280000,NV049,CN HCM,,,
1/10/2024,1,ĐH4730944,KH-0368,P-440,8,12150000,97200000,64800000,NV116,CN HCM,,,
1/10/2024,1,ĐH3542980,KH-0228,P-120,4,5955000,23820000,15880000,NV169,CN HCM,,,
1/10/2024,1,ĐH6313432,KH-0245,P-030,7,5250000,36750000,24500000,NV018,CN HCM,,,
1/10/2024,1,ĐH6127221,KH-0435,P-266,8,1575000,12600000,8400000,NV222,CN HCM,,,
1/10/2024,1,ĐH3976690,KH-0556,P-625,2,5760000,11520000,7680000,NV166,CN HCM,,,
1/10/2024,1,ĐH1975163,KH-0537,P-496,8,60450000,483600000,322400000,NV093,CN HCM,,,
1/10/2024,1,ĐH1497657,KH-0418,P-326,2,375000,750000,500000,NV044,CN HCM,,,
1/10/2024,1,ĐH4988183,KH-0603,P-307,2,27210000,54420000,36280000,NV190,CN HCM,,,
1/11/2024,1,ĐH6970043,KH-0040,P-410,5,5385000,26925000,17950000,NV240,CN HCM,,,
1/11/2024,1,ĐH3282623,KH-0393,P-233,9,67860000,610740000,407160000,NV158,CN HCM,,,
1/11/2024,1,ĐH5614417,KH-0777,P-612,10,7410000,74100000,49400000,NV039,CN HCM,,,
1/11/2024,1,ĐH2720216,KH-0552,P-663,1,25890000,25890000,17260000,NV226,CN HCM,,,
1/11/2024,1,ĐH5193655,KH-0437,P-467,3,41925000,125775000,83850000,NV188,CN HCM,,,
1/11/2024,1,ĐH9856560,KH-0713,P-760,2,1305000,2610000,1740000,NV159,CN HCM,,,
1/11/2024,1,ĐH8501395,KH-0130,P-585,6,720000,4320000,2880000,NV095,CN HCM,,,
1/11/2024,1,ĐH9588588,KH-0771,P-480,6,2715000,16290000,10860000,NV022,CN HCM,,,
1/12/2024,1,ĐH2907095,KH-0263,P-125,4,6660000,26640000,17760000,NV113,CN HCM,,,
1/12/2024,1,ĐH9553351,KH-0580,P-739,7,13485000,94395000,62930000,NV117,CN HCM,,,
1/12/2024,1,ĐH8347908,KH-0086,P-431,7,8100000,56700000,37800000,NV105,CN HCM,,,
1/12/2024,1,ĐH9716831,KH-0193,P-381,9,1965000,17685000,11790000,NV193,CN HCM,,,
1/12/2024,1,ĐH9615326,KH-0163,P-696,6,30105000,180630000,120420000,NV132,CN HCM,,,
1/13/2024,1,ĐH8181966,KH-0320,P-520,9,9975000,89775000,59850000,NV010,CN HCM,,,
1/13/2024,1,ĐH8071967,KH-0495,P-347,2,39420000,78840000,52560000,NV220,CN HCM,,,
1/13/2024,1,ĐH9611913,KH-0040,P-354,6,1200000,7200000,4800000,NV218,CN HCM,,,
1/13/2024,1,ĐH7119225,KH-0356,P-038,10,5490000,54900000,36600000,NV215,CN HCM,,,
1/13/2024,1,ĐH7043837,KH-0572,P-208,8,4095000,32760000,21840000,NV083,CN HCM,,,
1/13/2024,1,ĐH3511246,KH-0001,P-615,5,4095000,20475000,13650000,NV101,CN HCM,,,
1/13/2024,1,ĐH3543294,KH-0737,P-541,2,21180000,42360000,28240000,NV159,CN HCM,,,
1/13/2024,1,ĐH4126061,KH-0600,P-466,5,7980000,39900000,26600000,NV170,CN HCM,,,
1/14/2024,1,ĐH8657452,KH-0683,P-505,10,13590000,135900000,90600000,NV191,CN HCM,,,
1/14/2024,1,ĐH9459571,KH-0479,P-327,1,1800000,1800000,1200000,NV176,CN HCM,,,
1/14/2024,1,ĐH3943351,KH-0465,P-145,10,26010000,260100000,173400000,NV055,CN HCM,,,
1/14/2024,1,ĐH8535487,KH-0478,P-631,2,5580000,11160000,7440000,NV109,CN HCM,,,
1/14/2024,1,ĐH6675509,KH-0491,P-028,5,3090000,15450000,10300000,NV082,CN HCM,,,
1/14/2024,1,ĐH2917351,KH-0639,P-576,7,1500000,10500000,7000000,NV232,CN HCM,,,
1/15/2024,1,ĐH2429513,KH-0484,P-347,5,39420000,197100000,131400000,NV038,CN HCM,,,
1/15/2024,1,ĐH4622767,KH-0163,P-384,10,1755000,17550000,11700000,NV146,CN HCM,,,
1/15/2024,1,ĐH4395618,KH-0558,P-422,8,1905000,15240000,10160000,NV066,CN HCM,,,
1/15/2024,1,ĐH9728258,KH-0652,P-686,6,660000,3960000,2640000,NV102,CN HCM,,,
1/15/2024,1,ĐH8319709,KH-0066,P-424,2,9735000,19470000,12980000,NV030,CN HCM,,,
1/15/2024,1,ĐH2316907,KH-0458,P-799,5,105000,525000,350000,NV129,CN HCM,,,
1/15/2024,1,ĐH9357209,KH-0156,P-636,10,1335000,13350000,8900000,NV171,CN HCM,,,
1/15/2024,1,ĐH7384420,KH-0354,P-322,3,6210000,18630000,12420000,NV173,CN HCM,,,
1/15/2024,1,ĐH8430777,KH-0571,P-135,5,525000,2625000,1750000,NV198,CN HCM,,,
1/15/2024,1,ĐH9948295,KH-0152,P-281,7,24540000,171780000,114520000,NV143,CN HCM,,,
1/15/2024,1,ĐH2323781,KH-0041,P-266,9,1575000,14175000,9450000,NV246,CN HCM,,,
1/15/2024,1,ĐH8457593,KH-0718,P-448,2,21060000,42120000,28080000,NV231,CN HCM,,,
1/15/2024,1,ĐH2905330,KH-0628,P-781,1,6420000,6420000,4280000,NV109,CN HCM,,,
1/15/2024,1,ĐH4019374,KH-0175,P-394,1,750000,750000,500000,NV124,CN HCM,,,
1/15/2024,1,ĐH4400527,KH-0305,P-297,5,55440000,277200000,184800000,NV195,CN HCM,,,
1/15/2024,1,ĐH5719867,KH-0679,P-722,6,7770000,46620000,31080000,NV136,CN HCM,,,
1/15/2024,1,ĐH3135835,KH-0168,P-339,1,1905000,1905000,1270000,NV109,CN HCM,,,
1/16/2024,1,ĐH1720754,KH-0537,P-763,10,1425000,14250000,9500000,NV057,CN HCM,,,
1/16/2024,1,ĐH7989903,KH-0732,P-319,4,3810000,15240000,10160000,NV068,CN HCM,,,
1/16/2024,1,ĐH6043569,KH-0109,P-778,9,900000,8100000,5400000,NV066,CN HCM,,,
1/16/2024,1,ĐH8145096,KH-0412,P-709,5,885000,4425000,2950000,NV249,CN HCM,,,
1/16/2024,1,ĐH4975635,KH-0725,P-429,6,29865000,179190000,119460000,NV115,CN HCM,,,
1/16/2024,1,ĐH8863832,KH-0687,P-392,6,33600000,201600000,134400000,NV244,CN HCM,,,
1/16/2024,1,ĐH2666536,KH-0084,P-144,8,12585000,100680000,67120000,NV019,CN HCM,,,
1/16/2024,1,ĐH7602671,KH-0262,P-471,6,1845000,11070000,7380000,NV007,CN HCM,,,
1/16/2024,1,ĐH3539387,KH-0069,P-196,8,24015000,192120000,128080000,NV087,CN HCM,,,
1/17/2024,1,ĐH1582978,KH-0333,P-397,10,1005000,10050000,6700000,NV200,CN HCM,,,
1/17/2024,1,ĐH7036686,KH-0499,P-762,8,3660000,29280000,19520000,NV154,CN HCM,,,
1/17/2024,1,ĐH2762054,KH-0712,P-058,8,16410000,131280000,87520000,NV135,CN HCM,,,
1/17/2024,1,ĐH5608913,KH-0025,P-708,2,150000,300000,200000,NV164,CN HCM,,,
1/17/2024,1,ĐH8281258,KH-0586,P-675,9,195000,1755000,1170000,NV049,CN HCM,,,
1/17/2024,1,ĐH7488044,KH-0526,P-238,8,150000,1200000,800000,NV113,CN HCM,,,
1/17/2024,1,ĐH4905646,KH-0438,P-329,10,20070000,200700000,133800000,NV215,CN HCM,,,
1/17/2024,1,ĐH9647257,KH-0669,P-026,3,2250000,6750000,4500000,NV021,CN HCM,,,
1/17/2024,1,ĐH2090663,KH-0085,P-207,5,4410000,22050000,14700000,NV109,CN HCM,,,
1/17/2024,1,ĐH1447479,KH-0242,P-482,6,8835000,53010000,35340000,NV102,CN HCM,,,
1/17/2024,1,ĐH8046014,KH-0339,P-424,6,9735000,58410000,38940000,NV003,CN HCM,,,
1/18/2024,1,ĐH9001750,KH-0451,P-385,6,4275000,25650000,17100000,NV058,CN HCM,,,
1/18/2024,1,ĐH2841948,KH-0231,P-509,7,720000,5040000,3360000,NV208,CN HCM,,,
1/18/2024,1,ĐH8156646,KH-0181,P-296,9,240000,2160000,1440000,NV083,CN HCM,,,
1/18/2024,1,ĐH5166064,KH-0733,P-706,8,7440000,59520000,39680000,NV062,CN HCM,,,
1/18/2024,1,ĐH3327665,KH-0407,P-023,3,9015000,27045000,18030000,NV134,CN HCM,,,
1/18/2024,1,ĐH1922859,KH-0026,P-502,9,36945000,332505000,221670000,NV103,CN HCM,,,
1/18/2024,1,ĐH1957207,KH-0418,P-440,5,12150000,60750000,40500000,NV040,CN HCM,,,
1/19/2024,1,ĐH4673622,KH-0187,P-704,3,480000,1440000,960000,NV072,CN HCM,,,
1/19/2024,1,ĐH5249389,KH-0468,P-722,4,7770000,31080000,20720000,NV120,CN HCM,,,
1/19/2024,1,ĐH4877130,KH-0784,P-756,9,26685000,240165000,160110000,NV046,CN HCM,,,
1/19/2024,1,ĐH6381697,KH-0087,P-778,6,900000,5400000,3600000,NV102,CN HCM,,,
1/19/2024,1,ĐH1018887,KH-0315,P-715,7,29565000,206955000,137970000,NV036,CN HCM,,,
1/19/2024,1,ĐH7501906,KH-0090,P-681,7,1650000,11550000,7700000,NV168,CN HCM,,,
1/19/2024,1,ĐH7118219,KH-0713,P-482,2,8835000,17670000,11780000,NV134,CN HCM,,,
1/19/2024,1,ĐH1681463,KH-0774,P-668,4,2175000,8700000,5800000,NV134,CN HCM,,,
1/19/2024,1,ĐH3282952,KH-0152,P-159,5,342225000,1711125000,1140750000,NV039,CN HCM,,,
1/19/2024,1,ĐH3112799,KH-0612,P-064,5,3615000,18075000,12050000,NV194,CN HCM,,,
1/20/2024,1,ĐH4522911,KH-0503,P-559,8,11265000,90120000,60080000,NV201,CN HCM,,,
1/20/2024,1,ĐH3351226,KH-0439,P-431,2,8100000,16200000,10800000,NV025,CN HCM,,,
1/20/2024,1,ĐH9326745,KH-0252,P-465,4,46950000,187800000,125200000,NV064,CN HCM,,,
1/20/2024,1,ĐH4285268,KH-0038,P-739,8,13485000,107880000,71920000,NV196,CN HCM,,,
1/20/2024,1,ĐH9297979,KH-0755,P-571,4,20250000,81000000,54000000,NV061,CN HCM,,,
1/20/2024,1,ĐH3189844,KH-0553,P-359,6,630000,3780000,2520000,NV075,CN HCM,,,
1/20/2024,1,ĐH4001763,KH-0205,P-425,2,27300000,54600000,36400000,NV063,CN HCM,,,
1/21/2024,1,ĐH9022188,KH-0420,P-303,3,77040000,231120000,154080000,NV094,CN HCM,,,
1/21/2024,1,ĐH3269286,KH-0190,P-234,10,252510000,2525100000,1683400000,NV220,CN HCM,,,
1/21/2024,1,ĐH3634507,KH-0744,P-601,2,2490000,4980000,3320000,NV236,CN HCM,,,
1/21/2024,1,ĐH2370747,KH-0218,P-317,2,1665000,3330000,2220000,NV112,CN HCM,,,
1/21/2024,1,ĐH6906458,KH-0007,P-240,10,25110000,251100000,167400000,NV021,CN HCM,,,
1/21/2024,1,ĐH8694609,KH-0593,P-728,10,3000000,30000000,20000000,NV191,CN HCM,,,
1/21/2024,1,ĐH2033161,KH-0221,P-767,8,825000,6600000,4400000,NV205,CN HCM,,,
1/21/2024,1,ĐH3180063,KH-0033,P-043,9,17925000,161325000,107550000,NV112,CN HCM,,,
1/22/2024,1,ĐH4421806,KH-0328,P-414,1,13320000,13320000,8880000,NV223,CN HCM,,,
1/22/2024,1,ĐH7792096,KH-0196,P-064,6,3615000,21690000,14460000,NV120,CN HCM,,,
1/22/2024,1,ĐH7298922,KH-0294,P-547,5,315000,1575000,1050000,NV015,CN HCM,,,
1/22/2024,1,ĐH7968673,KH-0481,P-340,5,255000,1275000,850000,NV055,CN HCM,,,
1/22/2024,1,ĐH3302264,KH-0574,P-518,9,6240000,56160000,37440000,NV041,CN HCM,,,
1/22/2024,1,ĐH6022717,KH-0623,P-027,3,3030000,9090000,6060000,NV162,CN HCM,,,
1/22/2024,1,ĐH4772144,KH-0150,P-284,5,30825000,154125000,102750000,NV093,CN HCM,,,
1/23/2024,1,ĐH7768042,KH-0446,P-350,4,19005000,76020000,50680000,NV131,CN HCM,,,
1/23/2024,1,ĐH1073762,KH-0010,P-172,4,7755000,31020000,20680000,NV207,CN HCM,,,
1/23/2024,1,ĐH6010075,KH-0059,P-759,5,90000,450000,300000,NV030,CN HCM,,,
1/23/2024,1,ĐH7422953,KH-0267,P-579,2,120000,240000,160000,NV072,CN HCM,,,
1/23/2024,1,ĐH6361106,KH-0225,P-545,5,11655000,58275000,38850000,NV179,CN HCM,,,
1/23/2024,1,ĐH8410266,KH-0393,P-713,7,240000,1680000,1120000,NV164,CN HCM,,,
1/24/2024,1,ĐH6854687,KH-0270,P-186,8,4440000,35520000,23680000,NV130,CN HCM,,,
1/24/2024,1,ĐH3746846,KH-0097,P-732,6,15810000,94860000,63240000,NV175,CN HCM,,,
1/24/2024,1,ĐH9759309,KH-0676,P-477,5,35715000,178575000,119050000,NV052,CN HCM,,,
1/24/2024,1,ĐH8994054,KH-0302,P-155,6,199425000,1196550000,797700000,NV083,CN HCM,,,
1/24/2024,1,ĐH8698111,KH-0416,P-711,6,2040000,12240000,8160000,NV063,CN HCM,,,
1/24/2024,1,ĐH3179030,KH-0493,P-152,3,250095000,750285000,500190000,NV100,CN HCM,,,
1/24/2024,1,ĐH8424571,KH-0750,P-194,8,675000,5400000,3600000,NV224,CN HCM,,,
1/24/2024,1,ĐH2508538,KH-0576,P-746,4,150000,600000,400000,NV215,CN HCM,,,
1/25/2024,1,ĐH7498499,KH-0642,P-543,6,6960000,41760000,27840000,NV011,CN HCM,,,
1/25/2024,1,ĐH8958939,KH-0008,P-033,8,16650000,133200000,88800000,NV132,CN HCM,,,
1/25/2024,1,ĐH9800924,KH-0514,P-355,9,67860000,610740000,407160000,NV236,CN HCM,,,
1/25/2024,1,ĐH4365987,KH-0280,P-576,3,1500000,4500000,3000000,NV093,CN HCM,,,
1/25/2024,1,ĐH8826588,KH-0174,P-549,7,7080000,49560000,33040000,NV138,CN HCM,,,
1/25/2024,1,ĐH8582783,KH-0124,P-434,6,14580000,87480000,58320000,NV041,CN HCM,,,
1/25/2024,1,ĐH7328506,KH-0631,P-270,2,8685000,17370000,11580000,NV028,CN HCM,,,
1/26/2024,1,ĐH8075776,KH-0099,P-513,6,975000,5850000,3900000,NV051,CN HCM,,,
1/26/2024,1,ĐH7879153,KH-0204,P-204,2,42120000,84240000,56160000,NV129,CN HCM,,,
1/26/2024,1,ĐH1418260,KH-0529,P-510,8,270000,2160000,1440000,NV178,CN HCM,,,
1/26/2024,1,ĐH1525836,KH-0055,P-098,5,3765000,18825000,12550000,NV138,CN HCM,,,
1/26/2024,1,ĐH9619693,KH-0130,P-340,4,255000,1020000,680000,NV046,CN HCM,,,
1/26/2024,1,ĐH9153670,KH-0052,P-096,9,1770000,15930000,10620000,NV030,CN HCM,,,
1/27/2024,1,ĐH9316858,KH-0016,P-534,8,6465000,51720000,34480000,NV198,CN HCM,,,
1/27/2024,1,ĐH9790817,KH-0536,P-719,1,585000,585000,390000,NV043,CN HCM,,,
1/27/2024,1,ĐH1214962,KH-0516,P-344,2,39675000,79350000,52900000,NV035,CN HCM,,,
1/27/2024,1,ĐH3315988,KH-0316,P-308,9,300000,2700000,1800000,NV166,CN HCM,,,
1/27/2024,1,ĐH7295306,KH-0461,P-012,4,9150000,36600000,24400000,NV184,CN HCM,,,
1/28/2024,1,ĐH2708615,KH-0382,P-777,7,2550000,17850000,11900000,NV218,CN HCM,,,
1/28/2024,1,ĐH4937871,KH-0154,P-565,6,915000,5490000,3660000,NV095,CN HCM,,,
1/28/2024,1,ĐH9701927,KH-0476,P-175,8,25200000,201600000,134400000,NV131,CN HCM,,,
1/28/2024,1,ĐH8665899,KH-0225,P-571,7,20250000,141750000,94500000,NV164,CN HCM,,,
1/28/2024,1,ĐH1671862,KH-0582,P-079,1,7530000,7530000,5020000,NV005,CN HCM,,,
1/29/2024,1,ĐH3622287,KH-0418,P-567,1,277770000,277770000,185180000,NV081,CN HCM,,,
1/29/2024,1,ĐH1474097,KH-0526,P-241,2,178800000,357600000,238400000,NV104,CN HCM,,,
1/29/2024,1,ĐH8949477,KH-0617,P-526,6,12975000,77850000,51900000,NV237,CN HCM,,,
1/29/2024,1,ĐH3732077,KH-0638,P-089,1,2550000,2550000,1700000,NV011,CN HCM,,,
1/29/2024,1,ĐH9174907,KH-0257,P-403,1,105000,105000,70000,NV237,CN HCM,,,
1/29/2024,1,ĐH2149858,KH-0095,P-761,1,1950000,1950000,1300000,NV084,CN HCM,,,
1/29/2024,1,ĐH1686154,KH-0773,P-029,4,5385000,21540000,14360000,NV024,CN HCM,,,
1/29/2024,1,ĐH2403344,KH-0178,P-781,10,6420000,64200000,42800000,NV139,CN HCM,,,
1/30/2024,1,ĐH5214039,KH-0424,P-535,4,7710000,30840000,20560000,NV179,CN HCM,,,
1/30/2024,1,ĐH3193444,KH-0443,P-114,6,2130000,12780000,8520000,NV237,CN HCM,,,
1/30/2024,1,ĐH3732166,KH-0629,P-224,1,1335000,1335000,890000,NV222,CN HCM,,,
1/30/2024,1,ĐH6840919,KH-0647,P-650,7,255000,1785000,1190000,NV169,CN HCM,,,
1/30/2024,1,ĐH5178603,KH-0054,P-526,10,12975000,129750000,86500000,NV050,CN HCM,,,
1/30/2024,1,ĐH1193230,KH-0372,P-029,4,5385000,21540000,14360000,NV182,CN HCM,,,
1/30/2024,1,ĐH1322990,KH-0508,P-294,6,75000,450000,300000,NV132,CN HCM,,,
1/30/2024,1,ĐH8593979,KH-0375,P-071,1,795000,795000,530000,NV149,CN HCM,,,
1/30/2024,1,ĐH5330252,KH-0356,P-400,4,375000,1500000,1000000,NV218,CN HCM,,,
1/30/2024,1,ĐH1822773,KH-0135,P-333,9,5970000,53730000,35820000,NV047,CN HCM,,,
1/31/2024,1,ĐH8657866,KH-0310,P-164,4,5445000,21780000,14520000,NV118,CN HCM,,,
1/31/2024,1,ĐH4832997,KH-0730,P-501,10,10935000,109350000,72900000,NV158,CN HCM,,,
1/31/2024,1,ĐH1846294,KH-0705,P-527,6,44265000,265590000,177060000,NV093,CN HCM,,,
1/31/2024,1,ĐH4308690,KH-0423,P-617,3,4110000,12330000,8220000,NV130,CN HCM,,,
2/1/2024,2,ĐH4277648,KH-0633,P-164,1,5445000,5445000,3630000,NV131,CN HCM,,,
2/1/2024,2,ĐH1404169,KH-0036,P-570,4,495000,1980000,1320000,NV229,CN HCM,,,
2/1/2024,2,ĐH9482647,KH-0352,P-305,9,2040000,18360000,12240000,NV214,CN HCM,,,
2/1/2024,2,ĐH8879859,KH-0189,P-574,7,270000,1890000,1260000,NV038,CN HCM,,,
