Ngày hạch toán,Đơn hàng,Mã KH,Mã Sản Phẩm,Số lượng bán,Đơn giá,Doanh thu,Giá vốn hàng hóa,Mã nhân viên bán,Chi nhánh
1/1/2024,ĐH4161738,KH-0222,P-523,5,1035000,5175000,3450000,NV128,CN HN
1/1/2024,ĐH3269154,KH-0036,P-708,8,150000,1200000,800000,NV205,CN DN
1/1/2024,ĐH4361071,KH-0428,P-489,9,88395000,795555000,530370000,NV143,CN HCM
1/1/2024,ĐH8663661,KH-0688,P-589,6,1350000,8100000,5400000,NV180,CN HCM
1/1/2024,ĐH9273137,KH-0583,P-321,9,6045000,54405000,36270000,NV170,CN HCM
1/1/2024,ĐH6956293,KH-0575,P-351,3,1080000,3240000,2160000,NV065,CN HN
1/2/2024,ĐH1828559,KH-0280,P-199,7,510000,3570000,2380000,NV231,CN HCM
1/2/2024,ĐH1928610,KH-0314,P-747,3,1905000,5715000,3810000,NV245,CN HN
1/2/2024,ĐH1544914,KH-0463,P-570,1,495000,495000,330000,NV133,CN HN
1/2/2024,ĐH6393369,KH-0100,P-567,4,277770000,1111080000,740720000,NV166,CN DN
1/2/2024,ĐH7459347,KH-0410,P-233,9,67860000,610740000,407160000,NV015,CN HN
1/2/2024,ĐH7126447,KH-0093,P-182,6,4305000,25830000,17220000,NV125,CN DN
1/2/2024,ĐH8077640,KH-0626,P-359,10,630000,6300000,4200000,NV176,CN HN
1/2/2024,ĐH8167914,KH-0224,P-153,10,240405000,2404050000,1602700000,NV037,CN HN
1/2/2024,ĐH3668164,KH-0196,P-415,9,15300000,137700000,91800000,NV011,CN HCM
1/2/2024,ĐH2505428,KH-0365,P-032,5,8580000,42900000,28600000,NV090,CN DN
1/2/2024,ĐH4564523,KH-0323,P-416,10,180000,1800000,1200000,NV094,CN DN
1/2/2024,ĐH4832468,KH-0069,P-399,5,1110000,5550000,3700000,NV152,CN HN
1/2/2024,ĐH5568418,KH-0339,P-500,1,1470000,1470000,980000,NV001,CN HCM
1/2/2024,ĐH5761182,KH-0578,P-637,3,105000,315000,210000,NV208,CN HCM
1/2/2024,ĐH7078394,KH-0059,P-083,3,12720000,38160000,25440000,NV224,CN HN
1/2/2024,ĐH9890397,KH-0217,P-384,10,1755000,17550000,11700000,NV082,CN HCM
1/2/2024,ĐH3583339,KH-0056,P-294,9,75000,675000,450000,NV230,CN HN
1/2/2024,ĐH1215588,KH-0297,P-246,4,6090000,24360000,16240000,NV233,CN HN
1/2/2024,ĐH3511647,KH-0410,P-115,6,34995000,209970000,139980000,NV133,CN HN
1/2/2024,ĐH6050467,KH-0254,P-552,7,56925000,398475000,265650000,NV073,CN DN
1/2/2024,ĐH1435475,KH-0427,P-241,4,178800000,715200000,476800000,NV039,CN HCM
1/2/2024,ĐH2845472,KH-0321,P-055,9,2010000,18090000,12060000,NV024,CN HCM
1/2/2024,ĐH2536452,KH-0503,P-720,9,4215000,37935000,25290000,NV057,CN HN
1/2/2024,ĐH9214554,KH-0659,P-319,3,3810000,11430000,7620000,NV038,CN HCM
1/2/2024,ĐH3325045,KH-0537,P-713,5,240000,1200000,800000,NV041,CN HCM
1/2/2024,ĐH6009531,KH-0029,P-348,10,58995000,589950000,393300000,NV123,CN HCM
1/2/2024,ĐH6728174,KH-0175,P-724,2,675000,1350000,900000,NV161,CN HN
1/3/2024,ĐH4688853,KH-0417,P-775,8,225000,1800000,1200000,NV141,CN HCM
1/3/2024,ĐH5644725,KH-0258,P-754,4,435000,1740000,1160000,NV228,CN DN
1/3/2024,ĐH3719961,KH-0365,P-432,9,19350000,174150000,116100000,NV036,CN HN
1/3/2024,ĐH6661398,KH-0399,P-305,2,2040000,4080000,2720000,NV072,CN HN
1/3/2024,ĐH3629604,KH-0026,P-404,4,120000,480000,320000,NV222,CN HCM
1/3/2024,ĐH7835908,KH-0114,P-068,8,1935000,15480000,10320000,NV163,CN HCM
1/3/2024,ĐH9516269,KH-0724,P-472,8,23790000,190320000,126880000,NV060,CN HN
1/3/2024,ĐH7408079,KH-0725,P-252,2,240000,480000,320000,NV114,CN DN
1/3/2024,ĐH8977953,KH-0030,P-648,9,990000,8910000,5940000,NV018,CN DN
1/3/2024,ĐH6695908,KH-0481,P-260,8,750000,6000000,4000000,NV018,CN HN
1/3/2024,ĐH4485598,KH-0550,P-340,7,255000,1785000,1190000,NV247,CN DN
1/3/2024,ĐH4495086,KH-0244,P-386,3,18480000,55440000,36960000,NV130,CN HCM
1/3/2024,ĐH3637943,KH-0601,P-306,2,28710000,57420000,38280000,NV114,CN DN
1/3/2024,ĐH6523133,KH-0491,P-040,7,20745000,145215000,96810000,NV046,CN DN
1/3/2024,ĐH1539758,KH-0157,P-724,8,675000,5400000,3600000,NV058,CN DN
1/3/2024,ĐH8872576,KH-0039,P-135,3,525000,1575000,1050000,NV072,CN HCM
1/3/2024,ĐH8736484,KH-0452,P-301,5,18090000,90450000,60300000,NV110,CN DN
1/3/2024,ĐH2920140,KH-0094,P-372,4,60720000,242880000,161920000,NV214,CN HCM
1/3/2024,ĐH8369611,KH-0010,P-324,7,11580000,81060000,54040000,NV247,CN HN
1/3/2024,ĐH9811891,KH-0608,P-347,9,39420000,354780000,236520000,NV248,CN DN
1/3/2024,ĐH5285581,KH-0042,P-428,7,13110000,91770000,61180000,NV166,CN HN
1/3/2024,ĐH5088921,KH-0160,P-779,5,525000,2625000,1750000,NV058,CN HCM
1/3/2024,ĐH1575096,KH-0276,P-063,4,11520000,46080000,30720000,NV153,CN HN
1/3/2024,ĐH3780464,KH-0295,P-244,1,45390000,45390000,30260000,NV118,CN HCM
1/3/2024,ĐH8345671,KH-0554,P-489,7,88395000,618765000,412510000,NV207,CN HN
1/3/2024,ĐH6321654,KH-0681,P-334,9,4005000,36045000,24030000,NV195,CN DN
1/3/2024,ĐH2490023,KH-0593,P-248,3,705000,2115000,1410000,NV207,CN DN
1/3/2024,ĐH9016765,KH-0566,P-088,10,2430000,24300000,16200000,NV176,CN HCM
1/3/2024,ĐH1230578,KH-0285,P-790,6,990000,5940000,3960000,NV082,CN HN
1/3/2024,ĐH5499409,KH-0329,P-001,6,26925000,161550000,107700000,NV009,CN HCM
1/3/2024,ĐH7624052,KH-0376,P-621,2,690000,1380000,920000,NV162,CN HN
1/3/2024,ĐH2475718,KH-0661,P-312,5,3030000,15150000,10100000,NV137,CN DN
1/4/2024,ĐH1725493,KH-0770,P-293,3,105000,315000,210000,NV209,CN DN
1/4/2024,ĐH3022048,KH-0600,P-462,1,4500000,4500000,3000000,NV173,CN DN
1/4/2024,ĐH5324972,KH-0593,P-018,1,2940000,2940000,1960000,NV033,CN HN
1/4/2024,ĐH9481325,KH-0500,P-195,2,21810000,43620000,29080000,NV065,CN HN
1/4/2024,ĐH5376987,KH-0420,P-239,5,25635000,128175000,85450000,NV233,CN HCM
1/4/2024,ĐH1659993,KH-0061,P-541,7,21180000,148260000,98840000,NV193,CN HCM
1/4/2024,ĐH4633861,KH-0494,P-546,10,240000,2400000,1600000,NV055,CN HN
1/4/2024,ĐH7577819,KH-0511,P-639,8,5625000,45000000,30000000,NV084,CN HCM
1/4/2024,ĐH4492011,KH-0409,P-602,9,9135000,82215000,54810000,NV134,CN HCM
1/4/2024,ĐH2696581,KH-0282,P-542,8,240000,1920000,1280000,NV144,CN HCM
1/4/2024,ĐH8429977,KH-0055,P-623,10,24870000,248700000,165800000,NV008,CN HCM
1/4/2024,ĐH3638556,KH-0015,P-765,3,345000,1035000,690000,NV112,CN DN
1/4/2024,ĐH5595981,KH-0564,P-511,7,120000,840000,560000,NV020,CN DN
1/4/2024,ĐH7548464,KH-0656,P-245,3,54495000,163485000,108990000,NV022,CN DN
1/4/2024,ĐH6963190,KH-0074,P-189,1,255000,255000,170000,NV054,CN HN
1/4/2024,ĐH6922803,KH-0330,P-362,8,4935000,39480000,26320000,NV025,CN DN
1/4/2024,ĐH7010455,KH-0678,P-610,3,42180000,126540000,84360000,NV099,CN HN
1/4/2024,ĐH3055283,KH-0148,P-733,10,435000,4350000,2900000,NV097,CN DN
1/4/2024,ĐH1236610,KH-0523,P-665,6,3495000,20970000,13980000,NV006,CN DN
1/4/2024,ĐH3479402,KH-0587,P-303,3,77040000,231120000,154080000,NV069,CN DN
1/4/2024,ĐH7211944,KH-0457,P-009,4,14850000,59400000,39600000,NV096,CN HN
1/4/2024,ĐH1360207,KH-0603,P-185,2,27300000,54600000,36400000,NV215,CN HN
1/4/2024,ĐH7218483,KH-0522,P-177,5,80775000,403875000,269250000,NV223,CN DN
1/4/2024,ĐH8365567,KH-0679,P-656,7,3315000,23205000,15470000,NV026,CN HN
1/5/2024,ĐH6160437,KH-0766,P-020,6,2085000,12510000,8340000,NV016,CN HCM
1/5/2024,ĐH7549855,KH-0395,P-581,1,34605000,34605000,23070000,NV100,CN DN
1/5/2024,ĐH9410533,KH-0577,P-693,10,1515000,15150000,10100000,NV057,CN HN
1/5/2024,ĐH5453119,KH-0512,P-672,10,4200000,42000000,28000000,NV190,CN HN
1/5/2024,ĐH4405709,KH-0403,P-440,6,12150000,72900000,48600000,NV078,CN HCM
1/5/2024,ĐH5859734,KH-0586,P-324,10,11580000,115800000,77200000,NV188,CN HN
1/5/2024,ĐH2313366,KH-0287,P-452,6,25875000,155250000,103500000,NV185,CN DN
1/5/2024,ĐH1222567,KH-0551,P-166,9,14535000,130815000,87210000,NV155,CN DN
1/5/2024,ĐH4420008,KH-0551,P-587,7,1800000,12600000,8400000,NV136,CN HCM
1/5/2024,ĐH4746199,KH-0567,P-577,7,9345000,65415000,43610000,NV105,CN HN
1/5/2024,ĐH9318497,KH-0590,P-489,9,88395000,795555000,530370000,NV127,CN DN
1/5/2024,ĐH4534674,KH-0657,P-341,9,24990000,224910000,149940000,NV118,CN HCM
1/5/2024,ĐH2452625,KH-0672,P-011,6,15885000,95310000,63540000,NV174,CN HCM
1/5/2024,ĐH7470787,KH-0433,P-048,8,13845000,110760000,73840000,NV242,CN HN
1/5/2024,ĐH4628737,KH-0640,P-324,2,11580000,23160000,15440000,NV081,CN HN
1/5/2024,ĐH9935200,KH-0183,P-668,6,2175000,13050000,8700000,NV012,CN HN
1/5/2024,ĐH5039146,KH-0045,P-483,5,2145000,10725000,7150000,NV129,CN DN
1/5/2024,ĐH4052491,KH-0202,P-580,4,12105000,48420000,32280000,NV057,CN HN
1/5/2024,ĐH9760921,KH-0728,P-363,7,46665000,326655000,217770000,NV148,CN HN
1/5/2024,ĐH2783558,KH-0145,P-469,6,1905000,11430000,7620000,NV115,CN HCM
1/5/2024,ĐH8905246,KH-0342,P-222,9,70245000,632205000,421470000,NV047,CN HCM
1/5/2024,ĐH9436720,KH-0248,P-461,10,3675000,36750000,24500000,NV243,CN HN
1/5/2024,ĐH9071543,KH-0365,P-723,8,2355000,18840000,12560000,NV011,CN HCM
1/5/2024,ĐH4695292,KH-0251,P-599,10,1170000,11700000,7800000,NV201,CN HCM
1/5/2024,ĐH8624721,KH-0002,P-613,5,2775000,13875000,9250000,NV143,CN HN
1/5/2024,ĐH3211924,KH-0015,P-755,7,615000,4305000,2870000,NV095,CN HN
1/5/2024,ĐH3296529,KH-0606,P-506,3,300000,900000,600000,NV113,CN HCM
1/5/2024,ĐH6403918,KH-0024,P-542,3,240000,720000,480000,NV065,CN HCM
1/5/2024,ĐH9747304,KH-0388,P-731,1,4155000,4155000,2770000,NV247,CN HN
1/5/2024,ĐH8467818,KH-0660,P-728,7,3000000,21000000,14000000,NV020,CN DN
1/5/2024,ĐH6479273,KH-0274,P-785,9,720000,6480000,4320000,NV200,CN DN
1/6/2024,ĐH7690866,KH-0266,P-290,9,1425000,12825000,8550000,NV078,CN HN
1/6/2024,ĐH3146752,KH-0569,P-048,3,13845000,41535000,27690000,NV132,CN HCM
1/6/2024,ĐH3091091,KH-0229,P-422,4,1905000,7620000,5080000,NV241,CN HCM
1/6/2024,ĐH6950313,KH-0264,P-457,6,285000,1710000,1140000,NV115,CN DN
1/6/2024,ĐH7747994,KH-0242,P-675,9,195000,1755000,1170000,NV012,CN DN
1/6/2024,ĐH8572888,KH-0374,P-485,4,3825000,15300000,10200000,NV020,CN HCM
1/6/2024,ĐH8691518,KH-0505,P-251,6,29910000,179460000,119640000,NV033,CN DN
1/6/2024,ĐH9245460,KH-0468,P-497,8,12465000,99720000,66480000,NV086,CN HN
1/6/2024,ĐH9291425,KH-0288,P-113,2,67380000,134760000,89840000,NV056,CN HN
1/6/2024,ĐH9356169,KH-0165,P-585,5,720000,3600000,2400000,NV204,CN DN
1/6/2024,ĐH6058072,KH-0690,P-612,5,7410000,37050000,24700000,NV008,CN DN
1/6/2024,ĐH8221438,KH-0167,P-311,8,615000,4920000,3280000,NV129,CN HN
1/6/2024,ĐH9545937,KH-0784,P-604,6,2850000,17100000,11400000,NV014,CN HN
1/6/2024,ĐH6969072,KH-0015,P-703,3,1020000,3060000,2040000,NV114,CN HCM
1/6/2024,ĐH4549625,KH-0005,P-102,3,2820000,8460000,5640000,NV005,CN DN
1/6/2024,ĐH6367602,KH-0096,P-469,4,1905000,7620000,5080000,NV191,CN DN
1/6/2024,ĐH3608945,KH-0316,P-677,10,555000,5550000,3700000,NV049,CN HN
1/6/2024,ĐH9902191,KH-0219,P-555,6,990000,5940000,3960000,NV158,CN DN
1/6/2024,ĐH1510895,KH-0633,P-321,10,6045000,60450000,40300000,NV165,CN DN
1/6/2024,ĐH9182963,KH-0185,P-461,1,3675000,3675000,2450000,NV189,CN DN
1/6/2024,ĐH6327536,KH-0667,P-325,2,1725000,3450000,2300000,NV100,CN HN
1/6/2024,ĐH9312313,KH-0394,P-338,1,21795000,21795000,14530000,NV059,CN HCM
1/6/2024,ĐH3352003,KH-0077,P-569,3,510000,1530000,1020000,NV229,CN HN
1/6/2024,ĐH8082775,KH-0170,P-529,7,2625000,18375000,12250000,NV172,CN HCM
1/6/2024,ĐH5471140,KH-0292,P-317,8,1665000,13320000,8880000,NV140,CN DN
1/6/2024,ĐH1808590,KH-0117,P-394,6,750000,4500000,3000000,NV092,CN HN
1/6/2024,ĐH8440647,KH-0432,P-344,10,39675000,396750000,264500000,NV066,CN HN
1/6/2024,ĐH5662062,KH-0640,P-752,2,2700000,5400000,3600000,NV028,CN DN
1/6/2024,ĐH5530335,KH-0172,P-213,9,19995000,179955000,119970000,NV129,CN DN
1/6/2024,ĐH9951098,KH-0362,P-561,4,8460000,33840000,22560000,NV215,CN HCM
1/7/2024,ĐH7135737,KH-0023,P-455,1,2385000,2385000,1590000,NV043,CN HN
1/7/2024,ĐH2220105,KH-0727,P-407,4,16005000,64020000,42680000,NV170,CN DN
1/7/2024,ĐH6475255,KH-0050,P-791,3,540000,1620000,1080000,NV156,CN DN
1/7/2024,ĐH8815896,KH-0040,P-305,3,2040000,6120000,4080000,NV226,CN DN
1/7/2024,ĐH4675391,KH-0210,P-552,3,56925000,170775000,113850000,NV156,CN DN
1/7/2024,ĐH7296216,KH-0030,P-155,6,199425000,1196550000,797700000,NV056,CN DN
1/7/2024,ĐH2340227,KH-0477,P-676,6,405000,2430000,1620000,NV173,CN HCM
1/7/2024,ĐH6974994,KH-0676,P-797,3,6825000,20475000,13650000,NV087,CN HN
1/7/2024,ĐH7367712,KH-0289,P-636,4,1335000,5340000,3560000,NV181,CN HCM
1/7/2024,ĐH5471208,KH-0770,P-561,4,8460000,33840000,22560000,NV021,CN DN
1/7/2024,ĐH8487635,KH-0327,P-422,7,1905000,13335000,8890000,NV207,CN DN
1/7/2024,ĐH4328438,KH-0387,P-197,2,38850000,77700000,51800000,NV203,CN HN
1/7/2024,ĐH6383033,KH-0781,P-727,5,9690000,48450000,32300000,NV123,CN HCM
1/7/2024,ĐH2501699,KH-0413,P-170,8,4920000,39360000,26240000,NV141,CN DN
1/7/2024,ĐH2365555,KH-0351,P-645,3,5625000,16875000,11250000,NV111,CN DN
1/7/2024,ĐH4646785,KH-0753,P-116,2,18735000,37470000,24980000,NV111,CN DN
1/7/2024,ĐH2578102,KH-0104,P-335,2,16815000,33630000,22420000,NV213,CN HCM
1/7/2024,ĐH4585410,KH-0775,P-121,3,3945000,11835000,7890000,NV246,CN HN
1/7/2024,ĐH5798525,KH-0169,P-656,8,3315000,26520000,17680000,NV180,CN HCM
1/7/2024,ĐH3285988,KH-0168,P-698,7,99450000,696150000,464100000,NV226,CN DN
1/7/2024,ĐH4468183,KH-0138,P-441,9,4080000,36720000,24480000,NV209,CN HN
1/7/2024,ĐH4705854,KH-0245,P-747,3,1905000,5715000,3810000,NV038,CN DN
1/7/2024,ĐH4809116,KH-0527,P-454,3,13920000,41760000,27840000,NV164,CN HCM
1/7/2024,ĐH8235160,KH-0651,P-751,3,30000,90000,60000,NV187,CN DN
1/7/2024,ĐH8127773,KH-0045,P-260,3,750000,2250000,1500000,NV080,CN HN
1/7/2024,ĐH3665380,KH-0738,P-417,1,62565000,62565000,41710000,NV144,CN DN
1/7/2024,ĐH8928638,KH-0195,P-391,10,49875000,498750000,332500000,NV218,CN HN
1/7/2024,ĐH4846881,KH-0438,P-133,1,2865000,2865000,1910000,NV196,CN HCM
1/7/2024,ĐH1412267,KH-0201,P-406,3,8310000,24930000,16620000,NV164,CN HCM
1/7/2024,ĐH8523123,KH-0064,P-763,9,1425000,12825000,8550000,NV131,CN DN
1/7/2024,ĐH2258860,KH-0206,P-124,5,14115000,70575000,47050000,NV050,CN HN
1/7/2024,ĐH5688869,KH-0352,P-349,4,24780000,99120000,66080000,NV198,CN HCM
1/8/2024,ĐH2122368,KH-0403,P-272,3,43200000,129600000,86400000,NV094,CN HN
1/8/2024,ĐH9269218,KH-0264,P-506,3,300000,900000,600000,NV136,CN HN
1/8/2024,ĐH9150439,KH-0409,P-402,3,1650000,4950000,3300000,NV173,CN HN
1/8/2024,ĐH3003839,KH-0099,P-481,9,8955000,80595000,53730000,NV024,CN HCM
1/8/2024,ĐH5695967,KH-0469,P-111,10,18015000,180150000,120100000,NV046,CN HN
1/8/2024,ĐH6619712,KH-0373,P-360,1,234975000,234975000,156650000,NV059,CN HN
1/8/2024,ĐH9598100,KH-0323,P-563,3,2145000,6435000,4290000,NV138,CN HCM
1/8/2024,ĐH6667648,KH-0211,P-408,5,16005000,80025000,53350000,NV113,CN HCM
1/8/2024,ĐH1995443,KH-0485,P-688,4,450000,1800000,1200000,NV147,CN HN
1/8/2024,ĐH5873994,KH-0731,P-044,4,4170000,16680000,11120000,NV227,CN DN
1/8/2024,ĐH3640949,KH-0102,P-219,6,90300000,541800000,361200000,NV192,CN DN
1/8/2024,ĐH3158659,KH-0299,P-211,4,11610000,46440000,30960000,NV206,CN HCM
1/8/2024,ĐH8928768,KH-0223,P-661,9,330000,2970000,1980000,NV119,CN HN
1/8/2024,ĐH5302073,KH-0754,P-791,7,540000,3780000,2520000,NV147,CN DN
1/8/2024,ĐH4797186,KH-0605,P-408,5,16005000,80025000,53350000,NV227,CN HCM
1/8/2024,ĐH4241937,KH-0054,P-683,3,360000,1080000,720000,NV197,CN HN
1/8/2024,ĐH7075148,KH-0262,P-015,5,3645000,18225000,12150000,NV092,CN HCM
1/8/2024,ĐH2086689,KH-0703,P-129,4,10515000,42060000,28040000,NV045,CN HN
1/9/2024,ĐH4720113,KH-0226,P-105,10,13560000,135600000,90400000,NV096,CN HCM
1/9/2024,ĐH4190463,KH-0605,P-169,1,8880000,8880000,5920000,NV006,CN HN
1/9/2024,ĐH3632650,KH-0523,P-343,7,4755000,33285000,22190000,NV245,CN HN
1/9/2024,ĐH4956650,KH-0001,P-592,7,540000,3780000,2520000,NV231,CN DN
1/9/2024,ĐH1923657,KH-0295,P-049,3,13755000,41265000,27510000,NV058,CN HN
1/9/2024,ĐH4162653,KH-0389,P-184,5,3270000,16350000,10900000,NV028,CN HCM
1/9/2024,ĐH8533828,KH-0115,P-630,9,1905000,17145000,11430000,NV170,CN DN
1/9/2024,ĐH9958243,KH-0466,P-693,7,1515000,10605000,7070000,NV046,CN HN
1/9/2024,ĐH8058865,KH-0011,P-769,9,345000,3105000,2070000,NV206,CN DN
1/9/2024,ĐH8341163,KH-0539,P-796,8,7335000,58680000,39120000,NV002,CN HN
1/9/2024,ĐH9729627,KH-0323,P-106,2,27030000,54060000,36040000,NV016,CN HCM
1/9/2024,ĐH3993652,KH-0209,P-403,7,105000,735000,490000,NV075,CN DN
1/9/2024,ĐH6513844,KH-0410,P-106,6,27030000,162180000,108120000,NV158,CN DN
1/9/2024,ĐH3943063,KH-0315,P-667,4,1785000,7140000,4760000,NV230,CN HN
1/9/2024,ĐH9848700,KH-0367,P-069,9,1305000,11745000,7830000,NV169,CN HCM
1/9/2024,ĐH9260789,KH-0222,P-405,9,15915000,143235000,95490000,NV198,CN HN
1/9/2024,ĐH2646306,KH-0767,P-555,2,990000,1980000,1320000,NV116,CN DN
1/9/2024,ĐH3784329,KH-0140,P-455,3,2385000,7155000,4770000,NV003,CN HN
1/9/2024,ĐH3144500,KH-0212,P-763,3,1425000,4275000,2850000,NV213,CN DN
1/9/2024,ĐH1134609,KH-0025,P-122,10,2775000,27750000,18500000,NV151,CN HCM
1/9/2024,ĐH1519379,KH-0158,P-355,3,67860000,203580000,135720000,NV057,CN HN
1/9/2024,ĐH7586616,KH-0276,P-605,9,2040000,18360000,12240000,NV087,CN HCM
1/9/2024,ĐH9341825,KH-0208,P-598,4,675000,2700000,1800000,NV229,CN HN
1/9/2024,ĐH7326036,KH-0187,P-381,7,1965000,13755000,9170000,NV095,CN HCM
1/9/2024,ĐH7941892,KH-0092,P-750,5,585000,2925000,1950000,NV125,CN HCM
1/9/2024,ĐH5034659,KH-0289,P-390,7,1935000,13545000,9030000,NV083,CN HCM
1/9/2024,ĐH9497358,KH-0535,P-565,5,915000,4575000,3050000,NV026,CN HN
1/9/2024,ĐH4300750,KH-0412,P-185,6,27300000,163800000,109200000,NV025,CN HCM
1/9/2024,ĐH1115284,KH-0568,P-227,1,3060000,3060000,2040000,NV161,CN HN
1/9/2024,ĐH3586877,KH-0068,P-219,2,90300000,180600000,120400000,NV230,CN DN
1/9/2024,ĐH3284267,KH-0467,P-433,3,30345000,91035000,60690000,NV237,CN HCM
1/9/2024,ĐH6049141,KH-0049,P-621,8,690000,5520000,3680000,NV061,CN DN
1/9/2024,ĐH8910934,KH-0558,P-185,3,27300000,81900000,54600000,NV229,CN HCM
1/9/2024,ĐH4425436,KH-0047,P-461,8,3675000,29400000,19600000,NV185,CN HCM
1/10/2024,ĐH8003217,KH-0423,P-412,5,44175000,220875000,147250000,NV230,CN HCM
1/10/2024,ĐH5572165,KH-0641,P-180,3,8085000,24255000,16170000,NV186,CN DN
1/10/2024,ĐH8149842,KH-0304,P-680,5,4920000,24600000,16400000,NV130,CN DN
1/10/2024,ĐH3653087,KH-0699,P-620,9,10380000,93420000,62280000,NV049,CN HCM
1/10/2024,ĐH4730944,KH-0368,P-440,8,12150000,97200000,64800000,NV116,CN HCM
1/10/2024,ĐH1027730,KH-0402,P-025,2,18225000,36450000,24300000,NV179,CN DN
1/10/2024,ĐH3542980,KH-0228,P-120,4,5955000,23820000,15880000,NV169,CN HCM
1/10/2024,ĐH5453965,KH-0136,P-417,5,62565000,312825000,208550000,NV238,CN DN
1/10/2024,ĐH9109387,KH-0414,P-317,1,1665000,1665000,1110000,NV115,CN HN
1/10/2024,ĐH6493476,KH-0374,P-135,2,525000,1050000,700000,NV146,CN HN
1/10/2024,ĐH6313432,KH-0245,P-030,7,5250000,36750000,24500000,NV018,CN HCM
1/10/2024,ĐH2081420,KH-0417,P-410,7,5385000,37695000,25130000,NV165,CN DN
1/10/2024,ĐH1017133,KH-0570,P-704,6,480000,2880000,1920000,NV216,CN HN
1/10/2024,ĐH6127221,KH-0435,P-266,8,1575000,12600000,8400000,NV222,CN HCM
1/10/2024,ĐH2019576,KH-0557,P-379,8,4680000,37440000,24960000,NV127,CN DN
1/10/2024,ĐH4229101,KH-0560,P-749,2,1575000,3150000,2100000,NV172,CN HN
1/10/2024,ĐH4813212,KH-0547,P-436,1,4620000,4620000,3080000,NV057,CN HN
1/10/2024,ĐH3976690,KH-0556,P-625,2,5760000,11520000,7680000,NV166,CN HCM
1/10/2024,ĐH9357904,KH-0685,P-638,3,5625000,16875000,11250000,NV028,CN DN
1/10/2024,ĐH9584531,KH-0595,P-595,6,960000,5760000,3840000,NV024,CN HN
1/10/2024,ĐH5446595,KH-0022,P-600,3,3045000,9135000,6090000,NV004,CN HN
1/10/2024,ĐH1975163,KH-0537,P-496,8,60450000,483600000,322400000,NV093,CN HCM
1/10/2024,ĐH1497657,KH-0418,P-326,2,375000,750000,500000,NV044,CN HCM
1/10/2024,ĐH4518618,KH-0622,P-709,7,885000,6195000,4130000,NV165,CN DN
1/10/2024,ĐH6248542,KH-0280,P-357,1,7935000,7935000,5290000,NV050,CN DN
1/10/2024,ĐH4988183,KH-0603,P-307,2,27210000,54420000,36280000,NV190,CN HCM
1/11/2024,ĐH7303224,KH-0287,P-341,1,24990000,24990000,16660000,NV162,CN DN
1/11/2024,ĐH8347589,KH-0199,P-619,1,20640000,20640000,13760000,NV086,CN DN
1/11/2024,ĐH8415371,KH-0257,P-599,3,1170000,3510000,2340000,NV076,CN HN
1/11/2024,ĐH5551827,KH-0784,P-721,7,315000,2205000,1470000,NV173,CN DN
1/11/2024,ĐH3801539,KH-0036,P-438,3,29160000,87480000,58320000,NV229,CN HN
1/11/2024,ĐH1106898,KH-0292,P-347,9,39420000,354780000,236520000,NV023,CN DN
1/11/2024,ĐH5171428,KH-0646,P-362,5,4935000,24675000,16450000,NV001,CN HN
