Mã KH,Khách hàng,Lĩnh vực kinh doanh,Loại hình DN
KH-0093,CTY TNHH CÔNG NGHỆ VÀ PHẦN MỀM NAM Á,Công nghệ,TNHH
KH-0094,Công ty TNHH Shiseido Việt Nam,Khác,TNHH
KH-0095,CÔNG TY CP HỆ THỐNG CÔNG NGHỆ ÁNH LAM,Công nghệ,Cổ phần
KH-0096,CHI NHÁNH CÔNG TY TNHH MTV - TỔNG CÔNG TY PHÁT ĐIỆN 3 - CÔNG TY DỊCH VỤ SỬA CHỮA CÁC NHÀ MÁY ĐIỆN,Dịch vụ,TNHH
KH-0097,Công ty TNHH Đặc Rạng Việt Nam.,Khác,TNHH
KH-0098,Công ty TNHH Schenker Việt Nam,Khác,TNHH
KH-0099,CÔNG TY TNHH YKK AP FACADE VIỆT NAM,Khác,TNHH
KH-0100,CÔNG TY CỔ PHẦN KIẾN TRÚC VÀ THƯƠNG MẠI NSP VIỆT NAM,Xây dựng,Cổ phần
KH-0101,Công Ty TNHH Fairfield Việt Nam,Công nghệ,TNHH
KH-0102,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ,Khác,Cổ phần
KH-0103,Công ty CP Phát triển Điện lực Thăng Long,Năng lượng,Cổ phần
KH-0104,CÔNG TY TNHH VINA-CPK,Khác,TNHH
KH-0105,Công Ty TNHH Jang Won Tech Vina,Công nghệ,TNHH
KH-0106,Công Ty TNHH Thương Mại Dịch Vụ Viết Quang,Dịch vụ,TNHH
KH-0107,CÔNG TY TNHH TRẦN VIỆT PHÁT,Khác,TNHH
KH-0108,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRUNG NGUYÊN,Khác,Cổ phần
KH-0109,CÔNG TY TNHH MỘT THÀNH VIÊN HIỆP THỊNH,Khác,TNHH
KH-0110,CÔNG TY CỔ PHẦN CÔNG NGHỆ ĐẠI TRẦN GIA,Công nghệ,Cổ phần
KH-0111,Công ty Cổ phần Tiến Bộ Quốc Tế,Khác,Cổ phần
KH-0112,Công ty TNHH Thương mại Kỹ thuật Tin học Anh Ngọc,Công nghệ,TNHH
KH-0113,CÔNG TY TNHH TIẾP VẬN KINTETSU VIỆT NAM,Dịch vụ,TNHH
KH-0114,CÔNG TY TNHH MỘT THÀNH VIÊN KHÁCH SẠN SUNWAY HÀ NỘI,Dịch vụ,TNHH
KH-0115,Công ty cổ phần Ipos.vn,Khác,Cổ phần
KH-0116,Văn phòng Đại diện công ty Taisei tại Hà Nội,Công nghệ,VPĐD
KH-0117,Công ty Cổ phần Đàug Tư Công nghệ STI,Công nghệ,Cổ phần
KH-0118,CÔNG TY CỔ PHẦN PIN HÀ NỘI,Năng lượng,Cổ phần
KH-0119,Công ty TNHH Sinh Nam,Khác,TNHH
KH-0120,Công ty TNHH thương mại kỹ thuật Hải Quang,Khác,TNHH
KH-0121,Công ty TNHH IKO THOMPSON VIỆT NAM,Khác,TNHH
KH-0122,Công ty TNHH TotalGaz Việt Nam,Khác,TNHH
KH-0123,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ HOÀN HẢO,Công nghệ,TNHH
KH-0124,Công Ty Cổ Phần Điện Ii,Năng lượng,Cổ phần
KH-0125,Công Ty Cổ Phần Thương Mại Và Phát Triển Kỹ Thuật Cao Vihoth,Khác,Cổ phần
KH-0126,Công ty TNHH Dịch Vụ Tin Học Rồng Việt,Công nghệ,TNHH
KH-0127,Công ty cổ phần phân phối và bán lẻ BT,Năng lượng,Cổ phần
KH-0128,Công ty Công nghệ thông tin Điện lực miền Bắc.,Công nghệ,Khác
KH-0129,Công Ty TNHH Cpro Việt Nam,Khác,TNHH
KH-0130,Công ty TNHH Deloitte Việt Nam,Công nghệ,TNHH
KH-0131,CÔNG TY CỔ PHẦN SONGWOL VINA,Khác,Cổ phần
KH-0132,Bảo hiểm xã hội tỉnh Hà Giang,Dịch vụ,Khác
KH-0133,CÔNG TY CỔ PHẦN KIẾN TRÚC ĐỒNG NHÂN,Xây dựng,Cổ phần
KH-0134,Công ty TNHH Nông Lâm Sản Tiên Phước,Khác,TNHH
KH-0135,Công ty TNHH EAGLE ONE ENTERPRISE,Khác,TNHH
KH-0136,Công ty cổ phần SRP,Khác,Cổ phần
KH-0137,CÔNG TY TNHH PHÂN PHỐI SYNNEX FPT,Năng lượng,TNHH
KH-0138,Công ty TNHH giải pháp công trường xây dựng Doosan Việt Nam,Dịch vụ,TNHH
KH-0139,Công Ty TNHH Xây Dựng Sandstone,Xây dựng,TNHH
KH-0140,CÔNG TY TNHH DỊCH VỤ TIN HỌC FPT,Công nghệ,TNHH
KH-0141,CÔNG TY CỔ PHẦN TRUNG VIỆT HƯNG,Khác,Cổ phần
KH-0142,Công ty cổ phần Act Brain Việt Nam,Công nghệ,Cổ phần
KH-0143,CÔNG TY CP VI TÍNH MEKONG,Khác,Cổ phần
KH-0144,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ PHÚ SINH KIM,Dịch vụ,Cổ phần
KH-0145,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI,Dịch vụ,Cổ phần
KH-0146,LIÊN ĐOÀN BÓNG ĐÁ NAUY,Khác,Khác
KH-0147,Công TY TNHH Công nghệ Nettop Việt Nam,Công nghệ,TNHH
KH-0148,Công Ty TNHH Sojitz Viet Nam,Công nghệ,TNHH
KH-0149,CÔNG TY CỔ PHẦN ZAKKA,Khác,Cổ phần
KH-0150,CÔNG TY TNHH THƯƠNG MẠI VÀ PHÁT TRIỂN CÔNG NGHỆ AE VIỆT NAM,Công nghệ,TNHH
KH-0151,Công Ty Cổ Phần Style Stone,Khác,Cổ phần
KH-0152,CÔNG TY CỔ PHẦN THÁI MINH,Khác,Cổ phần
KH-0153,Công Ty CP Công Nghệ Kỹ Thuật Số - HiTD,Công nghệ,Cổ phần
KH-0154,CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP VÀ CHUYỂN GIAO CÔNG NGHỆ VIỆT THẮNG,Công nghệ,Cổ phần
KH-0155,Nhà máy sữa đậu nành Việt Nam Vinasoy - Chi nhánh Công ty Cổ phần Đường Quảng Ngãi,Sản xuất,Cổ phần
KH-0156,Công ty TNHH Xây dựng C.A.D,Xây dựng,TNHH
KH-0157,CÔNG TY TNHH YOUNGONE NAM ĐỊNH,Khác,TNHH
KH-0158,Chi Nhánh công ty TNHH Em-Tech Việt Nam tại Nghệ An,Công nghệ,TNHH
KH-0159,Chi nhánh Công ty TNHH Bơm EBARA Việt Nam tại Hà Nội,Công nghệ,TNHH
KH-0160,CÔNG TY TNHH CÔNG NGHỆ CAO BÁCH KHOA,Công nghệ,TNHH
KH-0161,Công Ty TNHH Bao Bì MM Vidon,Sản xuất,TNHH
KH-0162,Công Ty TNHH Menkar,Công nghệ,TNHH
KH-0163,Công ty TNHH Một Thành Viên Việt Giay,Khác,TNHH
KH-0164,TRƯỜNG TIỂU HỌC DÂN LẬP VIỆT MỸ,Khác,Khác
KH-0165,TRƯỜNG THCS VIỆT MỸ,Khác,Khác
KH-0166,CÔNG TY TNHH CÔNG NGHỆ 360 VIỆT NAM,Công nghệ,TNHH
KH-0167,CÔNG TY TNHH MỘT THÀNH VIÊN TÍN PHÁT COMPUTER,Khác,TNHH
KH-0168,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN VIỆT NAM,Công nghệ,Cổ phần
KH-0169,CÔNG TY TNHH THƯƠNG MẠI KẾT NỐI AN TOÀN,Khác,TNHH
KH-0170,Công ty TNHH Pacisoft Việt Nam,Sản xuất,TNHH
KH-0171,CÔNG TY TNHH MÁY TÍNH ĐỨC AN,Công nghệ,TNHH
KH-0172,Công ty TNHH Silver Heritage Việt Nam.,Công nghệ,TNHH
KH-0173,CÔNG TY CỔ PHẦN TÍCH HỢP GIẢI PHÁP KST,Dịch vụ,Cổ phần
KH-0174,CÔNG TY TNHH GIẢI PHÁP AN NINH KẾT NỐI CÔNG NGHỆ CAO,Công nghệ,TNHH
KH-0175,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TSC VIỆT NAM,Công nghệ,Cổ phần
KH-0176,CÔNG TY TNHH KDDI VIỆT NAM,Khác,TNHH
KH-0177,CÔNG TY VNPT GLOBAL HK LTD,Khác,Khác
KH-0178,CÔNG TY TNHH MỘT THÀNH VIÊN XĂNG DẦU BẾN TRE,Năng lượng,TNHH
KH-0179,CÔNG TY TNHH GIANG KHÁNH VINH,Khác,TNHH
KH-0180,Công Ty TNHH Draeger Việt Nam,Khác,TNHH
KH-0181,Công ty TNHH Thakral One – Chi nhánh tại Hà Nội,Khác,TNHH
KH-0182,CÔNG TY TNHH  MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ THỊNH PHÁT COMPUTER,Dịch vụ,TNHH
KH-0183,CÔNG TY CỔ PHẦN TRIHAN,Khác,Cổ phần
KH-0184,Chi nhánh Công ty cổ phần kho vận Jupiter Việt Nam tại Hà Nội,Công nghệ,Cổ phần
KH-0185,Chi nhánh công ty cổ phần giao nhận hàng hoá JUPITER- PACIFIC tại thành phố Hà Nội,Công nghệ,Cổ phần
KH-0186,CÔNG TY TNHH OVI CABLES (VIỆT NAM),Khác,TNHH
KH-0187,CÔNG TY CỔ PHẦN ĐIỆN LỰC KHÁNH HÒA,Năng lượng,Cổ phần
KH-0188,Công ty TNHH công nghiệp ADCEL Việt Nam,Sản xuất,TNHH
KH-0189,CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ ALSOK VIỆT NAM,Dịch vụ,Cổ phần
KH-0190,Công ty TNHH Công nghệ Info Việt Nam,Công nghệ,TNHH
KH-0191,CÔNG TY TNHH VIETTEL - CHT,Khác,TNHH
KH-0192,HỢP TÁC XÃ MÂY TRE LÁ BA NHẤT,Khác,Khác
KH-0193,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ TIẾN THÀNH,Khác,TNHH
KH-0194,CÔNG TY TNHH ESOFTFLOW,Khác,TNHH
KH-0195,CÔNG TY TNHH FUJI SEAL VIỆT NAM,Khác,TNHH
KH-0196,CÔNG TY CP MÁY TÍNH – TRUYỀN THÔNG- ĐIỀU KHIỂN 3C,Công nghệ,Cổ phần
KH-0197,CÔNG TY TNHH IMAX,Khác,TNHH
KH-0198,CÔNG TY TNHH CÔNG TY KHAI THÁC ĐÁ VÔI YABASHI VIỆT NAM,Công nghệ,TNHH
KH-0199,CÔNG TY CỔ PHẦN REECOM GROUP,Khác,Cổ phần
KH-0200,CÔNG TY TNHH PHÁT TRIỂN NAM HỘI AN,Khác,TNHH
KH-0201,CÔNG TY TNHH SHIFT ASIA,Khác,TNHH
KH-0202,Công ty CP Giải pháp Siêu Việt,Dịch vụ,Cổ phần
KH-0203,Công Ty TNHH ENKEI Việt Nam,Khác,TNHH
KH-0204,CÔNG TY CỔ PHẦN DFM-ENGINEERING,Khác,Cổ phần
KH-0205,CÔNG TY TNHH THIẾT BỊ PHỤ TÙNG CÔNG NGHIỆP VIỆT NAM,Sản xuất,TNHH
KH-0206,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ DU LỊCH SONG ANH,Dịch vụ,TNHH
KH-0207,CÔNG TY TNHH CÔNG NGHIỆP FULLWEI VIỆT NAM,Sản xuất,TNHH
KH-0208,CÔNG TY TNHH THIẾT BỊ IN SPM,Sản xuất,TNHH
KH-0209,VĂN PHÒNG ĐĂNG KÝ ĐẤT ĐAI TỈNH BẮC NINH,Công nghệ,Khác
KH-0210,CÔNG TY TNHH MẠNG THÔNG TIN PHẲNG,Công nghệ,TNHH
KH-0211,CÔNG TY TNHH KONDO TEKKO VIỆT NAM,Khác,TNHH
KH-0212,CÔNG TY TNHH DONGSUNG VINA,Khác,TNHH
KH-0213,CÔNG TY CỔ PHẦN CÔNG NGHỆ & KHOA HỌC SÔNG HỒNG,Công nghệ,Cổ phần
KH-0214,CÔNG TY CỔ PHẦN ĐẤT HIẾM VIỆT NAM,Khác,Cổ phần
KH-0215,CÔNG TY CỔ PHẦN PHẦN MỀM QUẢN LÝ DOANH NGHIỆP,Công nghệ,Cổ phần
KH-0216,CÔNG TY TRÁCH NHIỆM HỮU HẠN INOAC VIỆT NAM,Khác,TNHH
KH-0217,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ DDN,Dịch vụ,TNHH
KH-0218,CÔNG TY CỔ PHẦN TƯ VẤN VÀ DỊCH VỤ CÔNG NGHỆ THÔNG TIN KINH DOANH MẠNG LƯỚI CÔNG NGHỆ CAO,Công nghệ,Cổ phần
KH-0219,ASPEN RESOURCES PTE LTD,Khác,Khác
KH-0220,CÔNG TY TNHH BAO BÌ NEXGEN VIỆT NAM,Sản xuất,TNHH
KH-0221,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TIN HỌC KHÁNH PHƯƠNG,Công nghệ,TNHH
KH-0222,CÔNG TY CỔ PHẦN I.P.L,Khác,Cổ phần
KH-0223,CÔNG TY TNHH THÀNH LỢI,Khác,TNHH
KH-0224,Chi nhánh Công Ty TNHH Mazars Việt Nam Tại Hà Nội,Công nghệ,TNHH
KH-0225,CÔNG TY TNHH BƠM EBARA VIỆT NAM,Công nghệ,TNHH
KH-0226,CÔNG TY TNHH BR24 VIETNAM,Khác,TNHH
KH-0227,CÔNG TY TNHH CANON MARKETING VIỆT NAM,Công nghệ,TNHH
KH-0228,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HÓA NỘI BÀI,Dịch vụ,Cổ phần
KH-0229,CÔNG TY CỔ PHẦN VIỄN THÔNG GIANG NAM,Công nghệ,Cổ phần
KH-0230,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu Khôi Nguyên,Dịch vụ,TNHH
KH-0231,CÔNG TY CỔ PHẦN CAO SU SAO VÀNG,Khác,Cổ phần
KH-0232,CÔNG TY TNHH MỘT THÀNH VIÊN ESPERSEN VIỆT NAM,Khác,TNHH
KH-0233,CÔNG TY TNHH VIỆT PAN - PACIFIC THANH HÓA,Năng lượng,TNHH
KH-0234,Công Ty TNHH Umec Việt Nam,Khác,TNHH
KH-0235,CÔNG TY CỔ PHẦN CÔNG NGHỆ MÁY TÍNH VÀ KIẾN TRÚC HÀ NỘI,Công nghệ,Cổ phần
KH-0236,CÔNG TY CỔ PHẦN CÔNG NGHỆ THIÊN VẬN,Công nghệ,Cổ phần
KH-0237,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ ỨNG DỤNG TOÀN CẦU,Công nghệ,Cổ phần
KH-0238,CÔNG TY TNHH PHẦN MỀM FPT,Công nghệ,TNHH
KH-0239,CỔNG THÔNG TIN ĐIỆN TỬ NGHỆ AN,Công nghệ,Khác
KH-0240,Công ty TNHH Extrans Việt Nam,Khác,TNHH
KH-0241,Công ty TNHH May Xuất Nhập Khẩu Đức Thành 3,Sản xuất,TNHH
KH-0242,CÔNG TY CỔ PHẦN HÃNG SƠN ĐÔNG Á,Xây dựng,Cổ phần
KH-0243,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VIỆT SAO,Công nghệ,TNHH
KH-0244,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU HSC39,Sản xuất,Cổ phần
KH-0245,CÔNG TY TNHH HONDA TRADING VIỆT NAM,Khác,TNHH
KH-0246,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MITU,Công nghệ,TNHH
KH-0247,Công ty CP Dịch vụ Công nghệ Tin học HPT,Công nghệ,Cổ phần
KH-0248,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,Khác,Cổ phần
KH-0249,CHI NHÁNH CSP LEGAL LLC TẠI HÀ NỘI,Dịch vụ,Chi nhánh
KH-0250,CÔNG TY TNHH MỘT THÀNH VIÊN KARCHER,Công nghệ,TNHH
KH-0251,CÔNG TY TNHH NETMARKS VIỆT NAM,Công nghệ,TNHH
KH-0252,CÔNG TY TNHH MOBILE MAPPING VIỆT NAM,Công nghệ,TNHH
KH-0253,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM PHÚC LỘC THỌ,Sản xuất,TNHH
KH-0254,CÔNG TY TNHH LG ELECTRONICS VIỆT NAM HẢI PHÒNG,Công nghệ,TNHH
KH-0255,"ACE TECH Co., Ltd",Công nghệ,Khác
KH-0256,Công Ty Cổ Phần Chăm Sóc Công Nghệ Thông Tin,Công nghệ,Cổ phần
KH-0257,CÔNG TY CỔ PHẦN CÔNG NGHỆ BNH VIỆT NAM,Công nghệ,Cổ phần
KH-0258,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUỐC TẾ HOÀN CẦU,Khác,Cổ phần
KH-0259,KRYSTAD CONSULT,Khác,Khác
KH-0260,CÔNG TY TNHH VALQUA VIỆT NAM,Khác,TNHH
KH-0261,Cục đăng kiểm Việt Nam,Khác,Khác
KH-0262,CÔNG TY CỔ PHẦN CÔNG NGHỆ TÂM HỢP NHẤT,Công nghệ,Cổ phần
KH-0263,Công ty TNHH Thịnh Phát Auto,Khác,TNHH
KH-0264,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG,Dịch vụ,Cổ phần
KH-0265,CÔNG TY CỔ PHẦN FOODY,Khác,Cổ phần
KH-0266,CÔNG TY CỔ PHẦN CÔNG NGHỆ BÌNH MINH,Công nghệ,Cổ phần
KH-0267,Khách hàng mua lẻ-Giao hàng thu tiền ngay,Khác,Khác
KH-0268,Công ty TNHH Netika Business Solution Việt Nam,Khác,TNHH
KH-0269,Công ty TNHH Quốc tế Delta,Khác,TNHH
KH-0270,CÔNG TY TNHH GEROC,Khác,TNHH
KH-0271,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ VÀ THƯƠNG MẠI TRÚC VÂN,Công nghệ,TNHH
KH-0272,Công ty Cổ Phần Thiết Bị Máy Tính An Phú Hưng,Công nghệ,Cổ phần
KH-0273,CÔNG TY CỔ PHẦN CÔNG NGHỆ SOTA VIỆT NAM,Công nghệ,Cổ phần
KH-0274,CÔNG TY TRÁCH NHIỆM HỮU HẠN IMG VIỆT NAM,Khác,TNHH
KH-0275,CÔNG TY CP IN MINH PHƯƠNG,Khác,Cổ phần
KH-0276,Công ty TNHH Thương mại dịch vụ Triparest,Công nghệ,TNHH
