Ngày hạch toán,Tháng,Đơn hàng,Mã KH,Mã Sản Phẩm,Số lượng bán,Đơn giá,Doanh thu,Giá vốn hàng hóa,Mã nhân viên bán,Chi nhánh,Chi nhánh,,,
1/8/2024,"1,00",ĐH5873994,KH-0731,P-044,4,4170000,16680000,11120000,NV227,CN DN,,,,
1/8/2024,"1,00",ĐH3640949,KH-0102,P-219,6,90300000,541800000,361200000,NV192,CN DN,,,,
1/8/2024,"1,00",ĐH5302073,KH-0754,P-791,7,540000,3780000,2520000,NV147,CN DN,,,,
1/9/2024,"1,00",ĐH4956650,KH-0001,P-592,7,540000,3780000,2520000,NV231,CN DN,,,,
1/9/2024,"1,00",ĐH8533828,KH-0115,P-630,9,1905000,17145000,11430000,NV170,CN DN,,,,
1/9/2024,"1,00",ĐH8058865,KH-0011,P-769,9,345000,3105000,2070000,NV206,CN DN,,,,
1/9/2024,"1,00",ĐH3993652,KH-0209,P-403,7,105000,735000,490000,NV075,CN DN,,,,
1/9/2024,"1,00",ĐH6513844,KH-0410,P-106,6,27030000,162180000,108120000,NV158,CN DN,,,,
1/9/2024,"1,00",ĐH2646306,KH-0767,P-555,2,990000,1980000,1320000,NV116,CN DN,,,,
1/9/2024,"1,00",ĐH3144500,KH-0212,P-763,3,1425000,4275000,2850000,NV213,CN DN,,,,
1/9/2024,"1,00",ĐH3586877,KH-0068,P-219,2,90300000,180600000,120400000,NV230,CN DN,,,,
1/9/2024,"1,00",ĐH6049141,KH-0049,P-621,8,690000,5520000,3680000,NV061,CN DN,,,,
1/10/2024,"1,00",ĐH5572165,KH-0641,P-180,3,8085000,24255000,16170000,NV186,CN DN,,,,
1/10/2024,"1,00",ĐH8149842,KH-0304,P-680,5,4920000,24600000,16400000,NV130,CN DN,,,,
1/10/2024,"1,00",ĐH1027730,KH-0402,P-025,2,18225000,36450000,24300000,NV179,CN DN,,,,
1/10/2024,"1,00",ĐH5453965,KH-0136,P-417,5,62565000,312825000,208550000,NV238,CN DN,,,,
1/10/2024,"1,00",ĐH2081420,KH-0417,P-410,7,5385000,37695000,25130000,NV165,CN DN,,,,
1/10/2024,"1,00",ĐH2019576,KH-0557,P-379,8,4680000,37440000,24960000,NV127,CN DN,,,,
1/10/2024,"1,00",ĐH9357904,KH-0685,P-638,3,5625000,16875000,11250000,NV028,CN DN,,,,
1/10/2024,"1,00",ĐH4518618,KH-0622,P-709,7,885000,6195000,4130000,NV165,CN DN,,,,
1/10/2024,"1,00",ĐH6248542,KH-0280,P-357,1,7935000,7935000,5290000,NV050,CN DN,,,,
1/11/2024,"1,00",ĐH7303224,KH-0287,P-341,1,24990000,24990000,16660000,NV162,CN DN,,,,
1/11/2024,"1,00",ĐH8347589,KH-0199,P-619,1,20640000,20640000,13760000,NV086,CN DN,,,,
1/11/2024,"1,00",ĐH5551827,KH-0784,P-721,7,315000,2205000,1470000,NV173,CN DN,,,,
1/11/2024,"1,00",ĐH1106898,KH-0292,P-347,9,39420000,354780000,236520000,NV023,CN DN,,,,
1/11/2024,"1,00",ĐH9141267,KH-0011,P-159,2,342225000,684450000,456300000,NV053,CN DN,,,,
1/11/2024,"1,00",ĐH4349468,KH-0215,P-057,4,9645000,38580000,25720000,NV151,CN DN,,,,
1/11/2024,"1,00",ĐH3472790,KH-0531,P-711,10,2040000,20400000,13600000,NV105,CN DN,,,,
1/11/2024,"1,00",ĐH3171646,KH-0718,P-657,1,690000,690000,460000,NV127,CN DN,,,,
1/11/2024,"1,00",ĐH2227148,KH-0009,P-457,4,285000,1140000,760000,NV136,CN DN,,,,
1/11/2024,"1,00",ĐH4728366,KH-0482,P-320,8,23895000,191160000,127440000,NV141,CN DN,,,,
1/11/2024,"1,00",ĐH4598553,KH-0027,P-666,4,2070000,8280000,5520000,NV207,CN DN,,,,
1/11/2024,"1,00",ĐH2408679,KH-0059,P-718,6,1170000,7020000,4680000,NV220,CN DN,,,,
1/12/2024,"1,00",ĐH6583969,KH-0134,P-067,9,690000,6210000,4140000,NV024,CN DN,,,,
1/12/2024,"1,00",ĐH7083156,KH-0319,P-038,8,5490000,43920000,29280000,NV018,CN DN,,,,
1/12/2024,"1,00",ĐH9382127,KH-0189,P-711,4,2040000,8160000,5440000,NV167,CN DN,,,,
1/12/2024,"1,00",ĐH9284525,KH-0681,P-504,5,2490000,12450000,8300000,NV198,CN DN,,,,
1/12/2024,"1,00",ĐH9800705,KH-0122,P-154,10,39495000,394950000,263300000,NV083,CN DN,,,,
1/12/2024,"1,00",ĐH8406306,KH-0640,P-757,4,720000,2880000,1920000,NV095,CN DN,,,,
1/13/2024,"1,00",ĐH9453760,KH-0761,P-190,9,330000,2970000,1980000,NV163,CN DN,,,,
1/13/2024,"1,00",ĐH6761243,KH-0344,P-425,10,27300000,273000000,182000000,NV008,CN DN,,,,
1/13/2024,"1,00",ĐH3257209,KH-0526,P-279,6,35580000,213480000,142320000,NV088,CN DN,,,,
1/13/2024,"1,00",ĐH4941446,KH-0046,P-769,6,345000,2070000,1380000,NV037,CN DN,,,,
1/13/2024,"1,00",ĐH9606656,KH-0322,P-388,6,6150000,36900000,24600000,NV085,CN DN,,,,
1/13/2024,"1,00",ĐH5538221,KH-0113,P-299,6,1035000,6210000,4140000,NV188,CN DN,,,,
1/13/2024,"1,00",ĐH8424364,KH-0080,P-773,6,825000,4950000,3300000,NV099,CN DN,,,,
1/13/2024,"1,00",ĐH3474411,KH-0285,P-134,1,9105000,9105000,6070000,NV227,CN DN,,,,
1/14/2024,"1,00",ĐH5613905,KH-0236,P-161,6,221370000,1328220000,885480000,NV024,CN DN,,,,
1/14/2024,"1,00",ĐH3214229,KH-0445,P-776,2,2685000,5370000,3580000,NV141,CN DN,,,,
1/14/2024,"1,00",ĐH5198593,KH-0608,P-123,5,9495000,47475000,31650000,NV003,CN DN,,,,
1/14/2024,"1,00",ĐH3076707,KH-0705,P-187,8,4305000,34440000,22960000,NV181,CN DN,,,,
1/14/2024,"1,00",ĐH6923195,KH-0583,P-720,10,4215000,42150000,28100000,NV060,CN DN,,,,
1/14/2024,"1,00",ĐH5829681,KH-0108,P-675,7,195000,1365000,910000,NV124,CN DN,,,,
1/14/2024,"1,00",ĐH4424614,KH-0352,P-325,1,1725000,1725000,1150000,NV175,CN DN,,,,
1/15/2024,"1,00",ĐH9601252,KH-0582,P-564,8,45000,360000,240000,NV017,CN DN,,,,
1/15/2024,"1,00",ĐH8023355,KH-0297,P-779,3,525000,1575000,1050000,NV218,CN DN,,,,
1/15/2024,"1,00",ĐH6306174,KH-0448,P-421,9,7275000,65475000,43650000,NV116,CN DN,,,,
1/15/2024,"1,00",ĐH9205065,KH-0669,P-394,9,750000,6750000,4500000,NV165,CN DN,,,,
1/15/2024,"1,00",ĐH1633967,KH-0340,P-170,5,4920000,24600000,16400000,NV194,CN DN,,,,
1/15/2024,"1,00",ĐH9009646,KH-0249,P-689,7,5925000,41475000,27650000,NV247,CN DN,,,,
1/15/2024,"1,00",ĐH6038462,KH-0681,P-715,4,29565000,118260000,78840000,NV035,CN DN,,,,
1/15/2024,"1,00",ĐH5901690,KH-0193,P-309,9,21435000,192915000,128610000,NV029,CN DN,,,,
1/15/2024,"1,00",ĐH9541358,KH-0298,P-306,10,28710000,287100000,191400000,NV187,CN DN,,,,
1/15/2024,"1,00",ĐH5012639,KH-0649,P-299,6,1035000,6210000,4140000,NV190,CN DN,,,,
1/16/2024,"1,00",ĐH2799327,KH-0358,P-565,10,915000,9150000,6100000,NV009,CN DN,,,,
1/16/2024,"1,00",ĐH5050347,KH-0720,P-368,4,7200000,28800000,19200000,NV094,CN DN,,,,
1/16/2024,"1,00",ĐH2429391,KH-0582,P-085,8,5835000,46680000,31120000,NV189,CN DN,,,,
1/16/2024,"1,00",ĐH1177181,KH-0627,P-294,2,75000,150000,100000,NV026,CN DN,,,,
1/16/2024,"1,00",ĐH4129805,KH-0120,P-124,5,14115000,70575000,47050000,NV071,CN DN,,,,
1/16/2024,"1,00",ĐH6739780,KH-0267,P-784,5,480000,2400000,1600000,NV216,CN DN,,,,
1/17/2024,"1,00",ĐH4745199,KH-0058,P-650,1,255000,255000,170000,NV093,CN DN,,,,
1/17/2024,"1,00",ĐH4486597,KH-0771,P-376,8,20160000,161280000,107520000,NV200,CN DN,,,,
1/17/2024,"1,00",ĐH4756084,KH-0338,P-135,5,525000,2625000,1750000,NV042,CN DN,,,,
1/17/2024,"1,00",ĐH6726996,KH-0374,P-574,9,270000,2430000,1620000,NV163,CN DN,,,,
1/17/2024,"1,00",ĐH2888648,KH-0068,P-790,8,990000,7920000,5280000,NV048,CN DN,,,,
1/17/2024,"1,00",ĐH7058266,KH-0102,P-422,1,1905000,1905000,1270000,NV247,CN DN,,,,
1/17/2024,"1,00",ĐH6241538,KH-0383,P-252,10,240000,2400000,1600000,NV026,CN DN,,,,
1/17/2024,"1,00",ĐH2091244,KH-0079,P-248,1,705000,705000,470000,NV227,CN DN,,,,
1/17/2024,"1,00",ĐH7571341,KH-0565,P-370,8,22530000,180240000,120160000,NV147,CN DN,,,,
1/18/2024,"1,00",ĐH4498110,KH-0325,P-073,3,9795000,29385000,19590000,NV122,CN DN,,,,
1/18/2024,"1,00",ĐH3514541,KH-0308,P-312,10,3030000,30300000,20200000,NV016,CN DN,,,,
1/18/2024,"1,00",ĐH1563314,KH-0735,P-262,2,23205000,46410000,30940000,NV078,CN DN,,,,
1/18/2024,"1,00",ĐH7919002,KH-0688,P-651,6,870000,5220000,3480000,NV007,CN DN,,,,
1/18/2024,"1,00",ĐH6009949,KH-0301,P-050,10,1185000,11850000,7900000,NV064,CN DN,,,,
1/18/2024,"1,00",ĐH2189480,KH-0432,P-303,5,77040000,385200000,256800000,NV249,CN DN,,,,
1/18/2024,"1,00",ĐH4597993,KH-0612,P-343,6,4755000,28530000,19020000,NV012,CN DN,,,,
1/18/2024,"1,00",ĐH3624558,KH-0089,P-354,6,1200000,7200000,4800000,NV055,CN DN,,,,
1/18/2024,"1,00",ĐH1400686,KH-0229,P-508,5,1215000,6075000,4050000,NV184,CN DN,,,,
1/18/2024,"1,00",ĐH5233098,KH-0710,P-417,7,62565000,437955000,291970000,NV249,CN DN,,,,
1/19/2024,"1,00",ĐH9944850,KH-0479,P-124,2,14115000,28230000,18820000,NV132,CN DN,,,,
1/19/2024,"1,00",ĐH5880331,KH-0175,P-654,2,120000,240000,160000,NV124,CN DN,,,,
1/19/2024,"1,00",ĐH7020239,KH-0425,P-589,4,1350000,5400000,3600000,NV014,CN DN,,,,
1/19/2024,"1,00",ĐH6911580,KH-0334,P-513,8,975000,7800000,5200000,NV027,CN DN,,,,
1/19/2024,"1,00",ĐH6952176,KH-0051,P-187,4,4305000,17220000,11480000,NV220,CN DN,,,,
1/19/2024,"1,00",ĐH9477009,KH-0729,P-526,10,12975000,129750000,86500000,NV034,CN DN,,,,
1/19/2024,"1,00",ĐH3626768,KH-0248,P-384,10,1755000,17550000,11700000,NV097,CN DN,,,,
1/19/2024,"1,00",ĐH3539700,KH-0592,P-069,9,1305000,11745000,7830000,NV063,CN DN,,,,
1/19/2024,"1,00",ĐH2557103,KH-0036,P-312,10,3030000,30300000,20200000,NV013,CN DN,,,,
1/20/2024,"1,00",ĐH6619342,KH-0652,P-283,4,118770000,475080000,316720000,NV237,CN DN,,,,
1/20/2024,"1,00",ĐH8574404,KH-0289,P-357,8,7935000,63480000,42320000,NV105,CN DN,,,,
1/20/2024,"1,00",ĐH6479308,KH-0597,P-338,10,21795000,217950000,145300000,NV174,CN DN,,,,
1/20/2024,"1,00",ĐH5572536,KH-0641,P-041,4,4440000,17760000,11840000,NV106,CN DN,,,,
1/20/2024,"1,00",ĐH9023394,KH-0064,P-164,8,5445000,43560000,29040000,NV142,CN DN,,,,
1/20/2024,"1,00",ĐH6112462,KH-0772,P-709,7,885000,6195000,4130000,NV125,CN DN,,,,
1/20/2024,"1,00",ĐH2984375,KH-0512,P-161,5,221370000,1106850000,737900000,NV164,CN DN,,,,
1/20/2024,"1,00",ĐH3895093,KH-0508,P-570,9,495000,4455000,2970000,NV156,CN DN,,,,
1/20/2024,"1,00",ĐH2323902,KH-0116,P-450,3,9105000,27315000,18210000,NV233,CN DN,,,,
1/20/2024,"1,00",ĐH3223514,KH-0354,P-799,1,105000,105000,70000,NV040,CN DN,,,,
1/20/2024,"1,00",ĐH2195962,KH-0085,P-349,8,24780000,198240000,132160000,NV201,CN DN,,,,
1/21/2024,"1,00",ĐH4651414,KH-0738,P-531,3,2520000,7560000,5040000,NV220,CN DN,,,,
1/21/2024,"1,00",ĐH3379572,KH-0137,P-569,10,510000,5100000,3400000,NV248,CN DN,,,,
1/21/2024,"1,00",ĐH8682908,KH-0778,P-729,4,9885000,39540000,26360000,NV015,CN DN,,,,
1/21/2024,"1,00",ĐH8409180,KH-0516,P-490,9,184275000,1658475000,1105650000,NV082,CN DN,,,,
1/21/2024,"1,00",ĐH3007372,KH-0733,P-703,7,1020000,7140000,4760000,NV160,CN DN,,,,
1/21/2024,"1,00",ĐH9613458,KH-0318,P-064,6,3615000,21690000,14460000,NV169,CN DN,,,,
1/21/2024,"1,00",ĐH7070817,KH-0547,P-408,4,16005000,64020000,42680000,NV182,CN DN,,,,
1/22/2024,"1,00",ĐH7006741,KH-0052,P-231,5,135000,675000,450000,NV023,CN DN,,,,
1/22/2024,"1,00",ĐH9078009,KH-0058,P-237,10,195000,1950000,1300000,NV230,CN DN,,,,
1/22/2024,"1,00",ĐH6163975,KH-0277,P-460,10,3225000,32250000,21500000,NV014,CN DN,,,,
1/22/2024,"1,00",ĐH4810789,KH-0337,P-140,8,12600000,100800000,67200000,NV240,CN DN,,,,
1/22/2024,"1,00",ĐH9855015,KH-0412,P-701,4,180000,720000,480000,NV002,CN DN,,,,
1/22/2024,"1,00",ĐH4834451,KH-0626,P-438,8,29160000,233280000,155520000,NV009,CN DN,,,,
1/22/2024,"1,00",ĐH3567666,KH-0772,P-706,10,7440000,74400000,49600000,NV173,CN DN,,,,
1/22/2024,"1,00",ĐH5879239,KH-0340,P-473,2,19425000,38850000,25900000,NV177,CN DN,,,,
1/22/2024,"1,00",ĐH6772421,KH-0251,P-405,9,15915000,143235000,95490000,NV180,CN DN,,,,
1/23/2024,"1,00",ĐH4710441,KH-0351,P-084,5,34905000,174525000,116350000,NV086,CN DN,,,,
1/23/2024,"1,00",ĐH4124902,KH-0416,P-301,6,18090000,108540000,72360000,NV072,CN DN,,,,
1/23/2024,"1,00",ĐH1372438,KH-0131,P-767,1,825000,825000,550000,NV078,CN DN,,,,
1/23/2024,"1,00",ĐH7907795,KH-0372,P-132,5,7590000,37950000,25300000,NV188,CN DN,,,,
1/23/2024,"1,00",ĐH1172901,KH-0340,P-031,8,1050000,8400000,5600000,NV097,CN DN,,,,
1/23/2024,"1,00",ĐH6186505,KH-0602,P-202,9,3675000,33075000,22050000,NV205,CN DN,,,,
1/23/2024,"1,00",ĐH1547356,KH-0270,P-448,5,21060000,105300000,70200000,NV150,CN DN,,,,
1/23/2024,"1,00",ĐH6316680,KH-0616,P-316,8,19260000,154080000,102720000,NV062,CN DN,,,,
1/23/2024,"1,00",ĐH4118847,KH-0157,P-722,6,7770000,46620000,31080000,NV174,CN DN,,,,
1/23/2024,"1,00",ĐH9562338,KH-0740,P-020,5,2085000,10425000,6950000,NV249,CN DN,,,,
1/23/2024,"1,00",ĐH7812604,KH-0296,P-300,6,1365000,8190000,5460000,NV134,CN DN,,,,
1/23/2024,"1,00",ĐH4565293,KH-0602,P-733,7,435000,3045000,2030000,NV246,CN DN,,,,
1/23/2024,"1,00",ĐH4655670,KH-0002,P-047,8,12705000,101640000,67760000,NV232,CN DN,,,,
1/24/2024,"1,00",ĐH3884924,KH-0526,P-404,2,120000,240000,160000,NV131,CN DN,,,,
1/24/2024,"1,00",ĐH2307674,KH-0486,P-094,7,19380000,135660000,90440000,NV059,CN DN,,,,
1/24/2024,"1,00",ĐH5080067,KH-0672,P-695,1,300000,300000,200000,NV193,CN DN,,,,
1/24/2024,"1,00",ĐH7387203,KH-0607,P-380,5,240000,1200000,800000,NV216,CN DN,,,,
1/24/2024,"1,00",ĐH3737367,KH-0276,P-442,9,1905000,17145000,11430000,NV046,CN DN,,,,
1/24/2024,"1,00",ĐH8242351,KH-0237,P-420,5,19215000,96075000,64050000,NV085,CN DN,,,,
1/24/2024,"1,00",ĐH7897319,KH-0580,P-728,8,3000000,24000000,16000000,NV195,CN DN,,,,
1/24/2024,"1,00",ĐH5480651,KH-0434,P-752,8,2700000,21600000,14400000,NV229,CN DN,,,,
1/24/2024,"1,00",ĐH6670716,KH-0153,P-263,7,16800000,117600000,78400000,NV153,CN DN,,,,
1/24/2024,"1,00",ĐH7942397,KH-0208,P-618,6,16005000,96030000,64020000,NV117,CN DN,,,,
1/24/2024,"1,00",ĐH7501392,KH-0533,P-769,2,345000,690000,460000,NV082,CN DN,,,,
1/25/2024,"1,00",ĐH4712069,KH-0448,P-683,7,360000,2520000,1680000,NV241,CN DN,,,,
1/25/2024,"1,00",ĐH4937972,KH-0370,P-783,3,11445000,34335000,22890000,NV133,CN DN,,,,
1/25/2024,"1,00",ĐH3620716,KH-0280,P-666,7,2070000,14490000,9660000,NV157,CN DN,,,,
1/25/2024,"1,00",ĐH8876183,KH-0747,P-111,2,18015000,36030000,24020000,NV238,CN DN,,,,
1/25/2024,"1,00",ĐH9220826,KH-0052,P-001,4,26925000,107700000,71800000,NV169,CN DN,,,,
1/25/2024,"1,00",ĐH5047551,KH-0255,P-327,3,1800000,5400000,3600000,NV206,CN DN,,,,
1/25/2024,"1,00",ĐH3056695,KH-0533,P-206,4,780000,3120000,2080000,NV198,CN DN,,,,
1/25/2024,"1,00",ĐH6431951,KH-0689,P-064,9,3615000,32535000,21690000,NV196,CN DN,,,,
1/25/2024,"1,00",ĐH5496955,KH-0709,P-011,8,15885000,127080000,84720000,NV084,CN DN,,,,
1/26/2024,"1,00",ĐH5655654,KH-0168,P-402,2,1650000,3300000,2200000,NV070,CN DN,,,,
1/26/2024,"1,00",ĐH4864471,KH-0600,P-608,5,10335000,51675000,34450000,NV138,CN DN,,,,
1/26/2024,"1,00",ĐH9180779,KH-0415,P-738,6,11805000,70830000,47220000,NV244,CN DN,,,,
1/26/2024,"1,00",ĐH3196892,KH-0244,P-714,8,26280000,210240000,140160000,NV242,CN DN,,,,
1/26/2024,"1,00",ĐH6759046,KH-0350,P-746,7,150000,1050000,700000,NV094,CN DN,,,,
1/26/2024,"1,00",ĐH9083566,KH-0079,P-786,3,21750000,65250000,43500000,NV017,CN DN,,,,
1/26/2024,"1,00",ĐH2141019,KH-0398,P-430,8,7935000,63480000,42320000,NV097,CN DN,,,,
1/26/2024,"1,00",ĐH6752516,KH-0486,P-633,1,375000,375000,250000,NV160,CN DN,,,,
1/27/2024,"1,00",ĐH9437086,KH-0626,P-353,9,3750000,33750000,22500000,NV136,CN DN,,,,
1/27/2024,"1,00",ĐH7837333,KH-0699,P-397,6,1005000,6030000,4020000,NV220,CN DN,,,,
1/27/2024,"1,00",ĐH1098856,KH-0008,P-084,7,34905000,244335000,162890000,NV011,CN DN,,,,
