Mã Sản phẩm,Sản phẩm,Nhóm sản phẩm, Nhãn , Giá vốn ,Phân loại sản phầm
P-016,Phần mềm OfficeStd 2016 SNGL OLP NL,Phần mềm, Phần mềm văn phòng ,  4.700.000 ,Phần mềm văn phòng
P-017,Phần mềm Microsoft Office Home and Business 2016 32-bit/64 English APAC EM DVD P2_T5D-02695,Phần mềm, Phần mềm văn phòng ,  2.640.000 ,Phần mềm văn phòng
P-018, Phần mềm winpro 10 64bit Eng Intl 1pk DSP OEI DVD,Phần mềm, Khác ,  1.960.000 ,Khác
P-019,"Bản quyền Phần mềm Kaspersky  Ksos 4 for DT + MD + FS SEA10 - MD, 5- DT, 1-FS",Phần mềm, Phần mềm Bảo mật ,  2.010.000 ,Phần mềm Bảo mật
P-020,"Bản quyền Phần mềm Kaspersky  Ksos 4 for DT + MD + FS SEA5 - MD, 5- DT, 1-FS",Phần mềm, Phần mềm Bảo mật ,  1.390.000 ,Phần mềm Bảo mật
P-021,Phần mềm Creative Cloud for teams All Apps ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New 12 months,Phần mềm, Phần mềm văn phòng ,  11.800.000 ,Phần mềm văn phòng
P-022,Phần mềm Win Pro 10 Win32 Eng Intl 1pk DSP OEI DVD,Phần mềm, Khác ,  1.910.000 ,Khác
P-023,Phần mềm Acrobat Professional 2017 Multiple Platforms International English AOO License,Phần mềm, Phần mềm văn phòng ,  6.010.000 ,Phần mềm văn phòng
P-024,MÁY TÍNH ĐỂ BÀN LẮP RÁP,Máy tính,,  5.540.000 ,Phần cứng
P-025,phần mềm SQLSvrStd 2016 SNGL OLP NL,Phần mềm, Phần cứng ,  12.150.000 ,Phần mềm server
P-026,Phần mềm Eset Small Office Security Pack 5 +1 + 5 1 Year,Phần mềm, Phần mềm server ,  1.500.000 ,Phần mềm văn phòng
P-027,ESET File Security for Microsoft Windows Server 211-N-1Y,Phụ kiện,Phụ kiện,  2.020.000 ,Phụ kiện
P-028,Phần mềm Win Pro 7 SP1 x64 English 1pk DSP OEI (FQC-08289),Phần mềm, Phần mềm văn phòng ,  2.060.000 ,Khác
P-029,Phần mềm Photoshop CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal 12 months,Phần mềm, Phần mềm server ,  3.590.000 ,Phần mềm văn phòng
P-030,Phần mềm Autodesk AutoCAD LT 2018 Commercial New Single-user ELD Annual Subscription  (057J1-WW8695-T548),Phần mềm, Khác ,  3.500.000 ,Phần mềm văn phòng
P-031,Phần mềm ứng dụng Office 365 Business- 6 months,Phần mềm, Phần mềm văn phòng ,  700.000 ,Phần mềm văn phòng
P-032,Phần mềm Illustrator CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New 12 months,Phần mềm, Phần mềm văn phòng ,  5.720.000 ,Phần mềm văn phòng
P-033,"Phần mềm Red Hat Enterprise Linux Server, Standard ( Physical or Virtual Nodes)",Phần mềm, Phần mềm văn phòng ,  11.100.000 ,Phần mềm server
P-034,Phần mềm SQLSvrStd 2017 SNGL OLP NL,Phần mềm, Phần mềm văn phòng ,  11.490.000 ,Phần mềm server
P-035,Phần mềm Acronis Backup 12.5 Advanced Universal License incl. AAP ESD,Phần mềm, Phần mềm server ,  61.950.000 ,Phần mềm server
P-036,Phần mềm Mail Merge ToolKit ( 5-Users license),Phần mềm, Phần mềm server ,  2.380.000 ,Phần mềm văn phòng
P-037,Phần mềm Teamviewer Business Subscription,Phần mềm, Phần mềm server ,  4.200.000 ,Phần mềm văn phòng
P-038,Dịch vụ phần mềm Migration from Teamviewer Business 12 to Teamviewer Business Subcription,Phần mềm, Phần mềm văn phòng ,  3.660.000 ,Phần mềm văn phòng
P-039,Phần mềm Mdaemon Renewal 250 User,Phần mềm, Phần mềm văn phòng ,  6.190.000 ,Phần mềm server
P-040,Phần mềm AutoCAD - including specialized toolsets AD Commercial New Single-user ELD Annual Subscription,Phần mềm, Phần mềm văn phòng ,  13.830.000 ,Khác
P-041,Phần mềm Office 365 PlanE3Open ShrdSvr SNGL Subs VL OLP NL Anual Qlfd,Phần mềm, Phần mềm server ,  2.960.000 ,Phần mềm văn phòng
P-042,Phần mềm Acrobat Pro DC Multiple Platforms Multi Asian Languages Licensing Subscription Monthly 1 User (12 months),Phần mềm, Khác ,  2.850.000 ,Phần mềm văn phòng
P-043,Phần mềm 3ds Max 2019 Commercial New Single-user ELD Annual Subscription,Phần mềm, Phần mềm văn phòng ,  11.950.000 ,Khác
P-044,Phần mềm Fusion 360 CLOUD Commercial New Single-user Annual Subscription,Phần mềm, Phần mềm văn phòng ,  2.780.000 ,Phần mềm server
P-045,Phần mềm AutoCAD LT 2019 Commercial New Single-user ELD Annual Subscription,Phần mềm, Khác ,  3.650.000 ,Phần mềm văn phòng
P-046,phần mềm WinSvrSTDCore 2016 SNGL OLP 16Lic NL CoreLic,Phần mềm, Phần mềm server ,  11.370.000 ,Phần mềm server
P-047,Phần mềm ExchgSvrStd 2016 SNGL OLP NL,Phần mềm, Phần mềm văn phòng ,  8.470.000 ,Phần mềm server
P-048,Phần mềm SketchUp Pro 2018,Phần mềm, Phần mềm server ,  9.230.000 ,Khác
P-049,Phần mềm Vray for Sketchup,Phần mềm, Phần mềm server ,  9.170.000 ,Khác
P-050,Usb For Vray,Phụ kiện,Phụ kiện,  790.000 ,Phụ kiện
P-051,Phần mềm Eset Smart Security 1Y3U,Phần mềm, Khác ,  330.000 ,Phần mềm Bảo mật
P-052,Phần mềm Eset Internet Security 1 User 1 year,Phần mềm, Khác ,  160.000 ,Phần mềm Bảo mật
P-053,Phần mềm Acrobat Standard 2017 Windows International English AOO License,Phần mềm, Khác ,  4.210.000 ,Phần mềm văn phòng
P-054,Bản quyền phần mềm máy tính Kaspesky KIS MD cho 1 máy tính (KL1867MUAFS),Phần mềm, Phần mềm Bảo mật ,  200.000 ,Phần mềm Bảo mật
P-055,Phần mềm Microsoft Office Home and Student 2016 Win English APAC EM Medialess,Phần mềm, Phần mềm Bảo mật ,  1.340.000 ,Phần mềm văn phòng
P-056,Phần mềm Teamviewer Premium Subscription,Phần mềm, Phần mềm văn phòng ,  10.570.000 ,Khác
P-057,Phần mềm Teamviewer Addon Channel  12,Phần mềm, Phần mềm Bảo mật ,  6.430.000 ,Khác
P-058,"Phần mềm Red Hat Enterprise Linux Server, Standard (Physical or Virtual Nodes)",Phần mềm, Phần mềm văn phòng ,  10.940.000 ,Phần mềm server
P-059,Phần mềm Foxit PhantomPDF Standard 9,Phụ kiện,Phụ kiện,  2.910.000 ,Phụ kiện
P-060,Phần mềm Microsoft O365BsnessEssentials ShrdSvr SNGL SubsVL OLP NL Qualified Annual (9F5-00003),Phần mềm, Khác ,  790.000 ,Phần mềm văn phòng
P-061,Phần mềm Eset Internet Security 3 User 1 year,Phần mềm, Khác ,  340.000 ,Phần mềm Bảo mật
P-062,Phần mềm Office 365 Business Essentials- 12 months,Phần mềm, Phần mềm server ,  610.000 ,Phần mềm văn phòng
P-063,Phần mềm CorelDRAW Graphics Suite 2017,Phần mềm, Phần mềm văn phòng ,  7.680.000 ,Phần mềm văn phòng
P-064,Phần mềm Lightroom 6 Multiple Platforms International English AOO License,Phần mềm, Phần mềm văn phòng ,  2.410.000 ,Phần mềm văn phòng
P-065,Phần mềm After Effects CC for team ALL Multiple Platforms Multi Asian Languages  Team Licensing Subscription New- 12 months,Phần mềm, Phần mềm Bảo mật ,  5.420.000 ,Phần mềm văn phòng
P-066,"phần mềm Minitab 18 Full Version, Single-User License",Phần mềm, Phần mềm văn phòng ,  23.730.000 ,Khác
P-067,Phần mềm Office 365 Personal 32-bit/x64 English Subscr 1 Yr Apac EM Medialess,Phần mềm, Phần mềm văn phòng ,  460.000 ,Phần mềm văn phòng
P-068,Phần mềm O365BsnessOpen ShrdSvr SNGL SubsVL OLP NL Annual Qlfd,Phần mềm, Phần mềm văn phòng ,  1.290.000 ,Phần mềm văn phòng
P-069,Phần mềm OFFICE 365 HOME PREMIUM 32BIT/64 EN SUBSCR 1 YR APAC EM MEDIALESS (6GQ-00018),Phần mềm, Phần mềm văn phòng ,  870.000 ,Phần mềm văn phòng
P-070,Phần mềm  nhận dạng ABBYY Fine Reader 12 Professional Edition,Phần mềm, Khác ,  3.280.000 ,Khác
P-071,Bản quyền phần mềm máy tính Kaspesky KIS MD cho 5 máy tính (KL1941MUEFS),Phần mềm, Phần mềm văn phòng ,  530.000 ,Phần mềm Bảo mật
P-072,Phần mềm diệt virus Bkav Pro 1,Phần mềm, Phần mềm văn phòng ,  110.000 ,Phần mềm Bảo mật
P-073,Phần mềm VSPRO 2017 SNGL OLP NL,Phần mềm, Phần mềm văn phòng ,  6.530.000 ,Khác
P-074, Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER BNDL SDT LIC EXPRESS BAND A ESSENTIAL 36 MONTHS,Phần mềm, Khác ,  1.710.000 ,Phần mềm Bảo mật
P-075,Phần mềm Office 365 Personal English APAC EM Subscr 1yr Medialess P2,Phần mềm, Phần mềm Bảo mật ,  530.000 ,Phần mềm văn phòng
P-076,Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER BNDL STD LIC EXPRESS BAND A ESSENTIAL 12 MONTHS,Phần mềm, Phần mềm Bảo mật ,  460.000 ,Phần mềm Bảo mật
P-077,Phần mềm SecurityPlus Renewal 12 User,Phần mềm, Khác ,  1.620.000 ,Phần mềm Bảo mật
P-078,Phần mềm MDaemon Renewal 12 User,Phần mềm, Phần mềm Bảo mật ,  2.380.000 ,Phần mềm server
P-079,phần mềm Photoshop CC for teams ALL  Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal 12 months,Phần mềm, Phần mềm văn phòng ,  5.020.000 ,Phần mềm văn phòng
P-080,Phần mềm Photoshop CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New - 12 months,Phần mềm, Phần mềm Bảo mật ,  6.400.000 ,Phần mềm văn phòng
P-081,Phần mềm OFFICE 365 HOME ENGLISH APAC EM SUBSCR 1YR MEDIALESS P2 (6GQ_00757),Phần mềm, Phần mềm Bảo mật ,  860.000 ,Phần mềm văn phòng
P-082,Phần mềm MDaemon 50 User,Phần mềm, Phần mềm server ,  16.170.000 ,Phần mềm server
P-083,Phần mềm MDaemon Antivirus 200 user 1 year,Phần mềm, Phần mềm văn phòng ,  8.480.000 ,Phần mềm server
P-084,Phần mềm ColdFusion Standard 2016 All Platforms International English AOO License,Phần mềm, Phần mềm văn phòng ,  23.270.000 ,Phần mềm server
P-085,"Phần mềm VMware Workstation 14 Pro for Linux and Windows, ESD",Phần mềm, Phần mềm văn phòng ,  3.890.000 ,Phần mềm server
P-086,Phần mềm Office 365 Business Premium - 12 months,Phần mềm, Phần mềm server ,  1.630.000 ,Phần mềm văn phòng
P-087,Phần mềm CorelDRAW Graphics Suite 2018 Single User Business License,Phần mềm, Phần mềm server ,  8.260.000 ,Phần mềm văn phòng
P-088,Phần mềm Fax Server Pro,Phần mềm, Phần mềm server ,  1.620.000 ,Phần cứng
P-089,Phần mềm Number of Client for the Fax,Phần mềm, Phần mềm server ,  1.700.000 ,Khác
P-090,Phần mềm FilmImpact.net Transition Pack 4 V3,Phần mềm, Phần mềm văn phòng ,  2.390.000 ,Phần mềm server
P-091,Phí sử dụng phần mềm Office 365 Business Premium - 10 months,Phần mềm, Phần mềm văn phòng ,  1.450.000 ,Phần mềm văn phòng
P-092,Phần mềm Mdaemon Renewal 250 User 3 Year,Phần mềm, Phần cứng ,  6.690.000 ,Phần mềm server
P-093, Phần mềm SecurityPlus Renewal 8000 Users 3 year,Phần mềm, Khác ,  4.640.000 ,Phần mềm Bảo mật
P-094,Phần mềm PRTG 1000 with 12 maintenance months included,Phần mềm, Phần mềm server ,  12.920.000 ,Khác
P-095,Phần mềm Bluebeam Revu CAD 2015,Phần mềm, Phần mềm văn phòng ,  4.700.000 ,Khác
P-096,Gói bảo trì phần mềm Bluebeam,Phần mềm, Phần mềm server ,  1.180.000 ,Phần cứng
P-097,Phần mềm WinPro 8.1 SNGL OLP NL Legalization GetGenuine (FQC-08147),Phần mềm, Phần mềm Bảo mật ,  2.320.000 ,Khác
P-098,Phần mềm Office Home and Business 2013 32-bit/x64 English AP AC EM DVD (T5D-01595),Phần mềm, Khác ,  2.510.000 ,Phần mềm văn phòng
P-099,Phần mềm SQLSvrStd 2014 SNGL OLP NL (228-10344),Phần mềm, Khác ,  9.700.000 ,Phần mềm server
P-100,Phần mềm WinSvrStd 2012R2 SNGL OLP NL 2Proc (P73-06285),Phần mềm, Phần cứng ,  10.690.000 ,Phần mềm server
P-101,Bản quyền phần mềm máy tính Kaspesky KIS MD cho 3 máy tính (KL1941MUCFS),Phần mềm, Khác ,  360.000 ,Phần mềm Bảo mật
P-102,Phần mềm Win Pro 7 SP1 x32 English 1pk DSP OEI (FQC-08279),Phần mềm, Phần mềm văn phòng ,  1.880.000 ,Khác
P-103,Phần mềm Acrobat Professional DC 2015 Multiple Platforms International English AOO License,Phần mềm, Phần mềm server ,  5.960.000 ,Phần mềm văn phòng
P-104,Phần mềm diệt Virus Norton Internet  Security 2014 VI 1 Uer( 21299433),Phần mềm, Phần mềm server ,  100.000 ,Phần mềm Bảo mật
P-105,Phần mềm ExchgSvrStd 2013 SNGL OLP NL,Phần mềm, Phần mềm Bảo mật ,  9.040.000 ,Phần mềm server
P-106,Phần mềm V-Ray 3.0 Workstation for 3DS Max Commercial,Phần mềm, Khác ,  18.020.000 ,Phần cứng
P-107,Phần mềm Autodesk 3Ds Max 2016 Commercial New SLM,Phần mềm, Phần mềm văn phòng ,  29.160.000 ,Khác
P-108,Phần mềm Autodesk AutoCAD LT 2016 Commercial New SLM R2,Phần mềm, Phần mềm Bảo mật ,  19.720.000 ,Phần mềm văn phòng
P-109,Phần mềm SketchUp Pro 2015 Commercial Single User License,Phần mềm, Phần mềm server ,  8.160.000 ,Khác
P-110,Phần mềm Photoshop CC All Multiple plarform Multi Asian Languages Licensing Sub-65226001BA01A12 (65226001BA01A12),Phần mềm, Phần cứng ,  3.460.000 ,Phần mềm văn phòng
P-111,Phần mềm TeamViewer 10 Premium,Phần mềm, Khác ,  12.010.000 ,Khác
P-112,Phần mềm Altova Umodel 2015 Basic Edition + SMP(1year) Installed Users (50),Phần mềm, Phần mềm văn phòng ,  113.290.000 ,Phần mềm server
P-113,Phần mềm Altova Umodel 2015 Basic Edition + SMP(1year) Installed Users (20),Phần mềm, Khác ,  44.920.000 ,Phần mềm server
P-114,Phần mềm Power Director 13.0 Ultra License,Phần mềm, Phần mềm văn phòng ,  1.420.000 ,Khác
P-115,Phần mềm TeamViewer 10 Corporate 09-31204-734142-794440,Phần mềm, Khác ,  23.330.000 ,Khác
P-116,Phần mềm Mdeamon Pro 50 User 2 Yr,Phần mềm, Phần mềm server ,  12.490.000 ,Khác
P-117,Phần mềm Win Svr Std 2008 R2 w/SP1 x64 ENG 1pk DSP OEI DVD 1-4CPU 5Clt LCP (P73-06451),Phần mềm, Phần mềm server ,  9.650.000 ,Phần cứng
P-118,Bộ định tuyến không dây Linksys E1700,Phụ kiện,Phụ kiện,  1.180.000 ,Phụ kiện
P-119,Thiết bị tường lửa Fortinet Fortigate 100D Fire wall Bundle part # FG-100D-BDL,Phụ kiện,Phụ kiện,  40.680.000 ,Phụ kiện
P-120,Phần mềm Illustrator CC MLP Asian Languages Licensing Subscription-65226017BA01A12 (65226017BA01A12),Phần mềm, Khác ,  3.970.000 ,Phần mềm văn phòng
P-121,Phần mềm Win Ult 7 SP1 x32 English 1pk DSP OEI (GLC-02377),Phần mềm, Khác ,  2.630.000 ,Khác
P-122,Phần mềm Win Pro 8.1 x64 Eng Intl 1pk DSP OEI DVD (FQC-06949),Phần mềm, Khác ,  1.850.000 ,Khác
P-123,Phần mềm TeamViewer 10 Business,Phần mềm, Phần cứng ,  6.330.000 ,Phần mềm văn phòng
P-124,Phần mềm PPDF-XChange/PDF-Tools-PDF-XChange/PDF-Tools Fulfillment on 2015-08-19,Phần mềm, Phần cứng ,  9.410.000 ,Phần mềm văn phòng
P-125,Phần mềm OfficeStd 2013 SNGL OLP NL (021-10257),Phần mềm, Phần cứng ,  4.440.000 ,Phần mềm văn phòng
P-126,Phần mềm TeamViewer 11 Premium,Phụ kiện,Phụ kiện,  22.050.000 ,Phụ kiện
P-127,Phần mềm Prjct 2016 SNGL OLP NL,Phần mềm, Phần mềm văn phòng ,  6.710.000 ,Phần mềm văn phòng
P-128,Phần mềm office Home and Business 2016 32-bit/x64 English APAC EM DVD,Phần mềm, Khác ,  2.590.000 ,Phần mềm văn phòng
P-129,Phần mềm Project 2016 32-bit/x64 English EM DVD,Phần mềm, Khác ,  7.010.000 ,Phần mềm văn phòng
P-130,Phần mềm MDaemon Renewal 50 User 2 Year,Phần mềm, Phần mềm văn phòng ,  7.630.000 ,Phần mềm server
P-131,Phần mềm SecurityPlus Renewal 50 User 2 Year,Phần mềm, Phần mềm văn phòng ,  4.780.000 ,Phần mềm Bảo mật
P-132,Phần mềm Autodesk AutoCAD LT 2017 Commercial New Single-user ELD Annual Subscription with Advanced Support,Phần mềm, Phần mềm văn phòng ,  5.060.000 ,Phần mềm văn phòng
P-133,Phần mềm Foxit PhantomPDF Standard 8,Phần mềm, Khác ,  1.910.000 ,Phần mềm văn phòng
P-134,Phần mềm WinSvrEssntls 2012R2 SNGL OLP NL,Phần mềm, Phần mềm văn phòng ,  6.070.000 ,Phần mềm server
P-135,Phần mềm Allway Sync Pro,Phần mềm, Phần mềm văn phòng ,  350.000 ,Khác
P-136,Phần mềm Win Pro 8.1 x32 Eng Intl 1pk DSP OEI DVD (FQC-06987),Phần mềm, Phần mềm văn phòng ,  1.870.000 ,Khác
P-137,Phần mềm Adobe Premiere Pro CC for team ALL Multiple Platforms Multi Asian Languages  Team Licensing Subscription New- 12 months,Phần mềm, Phần mềm server ,  7.900.000 ,Phần mềm văn phòng
P-138,Phần mềm TeamViewer 11 Corporate,Phần mềm, Phần mềm Bảo mật ,  31.790.000 ,Khác
P-139,Phần mềm O365BusPremopn Shared SNGL VLSub (9F4-00003),Phần mềm, Phần mềm văn phòng ,  1.910.000 ,Phần mềm văn phòng
P-140,Phần mềm NewsCutter 11,Phần mềm, Phần mềm văn phòng ,  8.400.000 ,Khác
P-141,Phần mềm Stellar OST to PST Converter V6.0-EN-SOHO,Phần mềm, Phần mềm server ,  2.840.000 ,Khác
P-142,Phần mềm TeamViewer 11 Business,Phụ kiện,Phụ kiện,  9.030.000 ,Phụ kiện
P-143,Phần mềm VMware vSphere 6 Standard for 1 processor,Phần mềm, Khác ,  13.700.000 ,Phần mềm server
P-144,Dịch vụ phần mềm Basic Support/Subscription VMware vSphere 6 Standard for 1 processor for 1 year,Phần mềm, Khác ,  8.390.000 ,Phần mềm server
P-145,Phần mềm Mdaemon 50 User 3 Year,Phần mềm, Phần mềm văn phòng ,  17.340.000 ,Phần mềm server
P-146,Phần mềm SecurityPlus 50 User 3 Year,Phần mềm, Khác ,  10.160.000 ,Phần mềm Bảo mật
P-147,Thiết bị vi tính tường lửa hiệu Palo Alto: Palo Alto Networks PA-3020 (PAN-PA-3020),Phụ kiện,Phụ kiện,  349.540.000 ,Phụ kiện
P-151,"Thiết bị lưu trữ HP 3PAR StoreServ B200 2N Fld Int Base, 24x600GB HDD, Mgmt/Core SW E-Media, OS Suite E-Media, 4xLC/LC OM4 5m Cbi, 3Y WTY_K2Q36A",Phụ kiện,Phụ kiện,  456.300.000 ,Phụ kiện
P-152,"Thiết bị lưu trữ HP MSL2024 0-Drive Tape Library, 3Y WTY_AK379A",Phụ kiện,Phụ kiện,  166.730.000 ,Phụ kiện
P-153,Đĩa cài đặt HP Data Protector 9.00 English SW Media_TD586EA,Phụ kiện,Phụ kiện,  160.270.000 ,Phụ kiện
P-154,"Tủ máy chủ HP 42U 600x1075mm Advanced Pallet Rack, 3Y WTY_H6J65A",Phụ kiện,Phụ kiện,  26.330.000 ,Phụ kiện
P-155,Bộ lưu điện EMERSON ITA 20kVA mở rộng thời gian backup (Không có ắc-quy),Phụ kiện,Phụ kiện,  132.950.000 ,Phụ kiện
P-159,"Máy tính chủ HP DL 380 G9 CTO E5-2660V3(2.6GHz)/10Core/25Mb, 64GB Ram(4x16Gb)2x300Gb HDD,6x2TB HDD, DVDRW, SA P440ar/2Gb, 366FLR Adapter, Nic 331i, Security Benzel, Easy Install Rail Kit, 2x800W PS,DP Adv Bk to Disk 1TB E-TLU, Rack 2U, 3Y WTY_719064-B21",Máy tính,,  228.150.000 ,Phần mềm Bảo mật
P-160,"Máy tính chủ HP DL380 G9 CTO E5-2660v3(2.6GHz/10Core/25MB), 192GB RAM(12x16GB), 8x600GB HDD, 2x300GB HDD, SA P440ar/2G, SAS Expander Card, Nlc 331i, Security Bezel, Rail Kit, 2x800W PS, 3Y WTY_767032-B21",Máy tính,,  192.100.000 ,Phần mềm Bảo mật
P-161,Thiết bị vi tính tường lửa hiệu Palo Alto: Palo Alto Networks PA-500 2GB Memory (PAN-PA-500-2GB),Phụ kiện,Phụ kiện,  147.580.000 ,Phụ kiện
P-164,Phần mềm Autodesk AutoCAD LT 2018 Commercial New Single-user ELD Annual Subscription,Phần mềm, Phần mềm văn phòng ,  3.630.000 ,Phần mềm văn phòng
P-165,Phần mềm CorelDRAW Graphics Suite X8 Single User License,Phần mềm, Khác ,  8.120.000 ,Phần mềm văn phòng
P-166,Phần mềm Windows Svr Std 2012 R2 x64 English 1pk DSP OEI DVD 2CPU/2VM (P73-06165),Phần mềm, Khác ,  9.690.000 ,Phần mềm server
P-167,"Phần mềm Easylabel 6 Gold Version Softwave key "" MFG IN GER"" CD "" MFG IN USA""",Phần mềm, Phần mềm văn phòng ,  10.540.000 ,Phần mềm Bảo mật
P-168,Phần mềm Rhino 5 for Windows,Phụ kiện,Phụ kiện,  12.000.000 ,Phụ kiện
P-169,Phần mềm IIIustrator CC Multiple Platforms Multi Asian Languages Licensing Subscription license 1 USER Level 1 1 - 49 12 Months,Phần mềm, Phần mềm server ,  5.920.000 ,Khác
P-170,Phần mềm SQLSvrStd 2016 SNGL OLP NL Acdmc,Phần mềm, Phần mềm server ,  3.280.000 ,Phần mềm server
P-171,Phần mềm WinSvrStd 2012R2 SNGL OLP NL Acdmc 2Proc,Phần mềm, Phần mềm server ,  3.480.000 ,Phần mềm server
P-172,Phần mềm Web Log Explorer Enterprise Edition,Phần mềm, Phần mềm Bảo mật ,  5.170.000 ,Phần mềm server
P-173,Phần mềm MDaemon Expired Renewal 500 to 1000 User,Phần mềm, Khác ,  21.510.000 ,Phần mềm server
P-174,Phần mềm SecurityPlus Expired Renewal 500 to 1000,Phần mềm, Phần cứng ,  12.160.000 ,Phần mềm Bảo mật
P-175,Phần mềm Mdaemon 1000 user 3 year,Phần mềm, Phần cứng ,  16.800.000 ,Phần mềm server
P-176,Phần mềm SecurityPlus 1000 user 3 year,Phần mềm, Phần cứng ,  9.690.000 ,Phần mềm Bảo mật
P-177,Phần mềm VMware vSphere 6 Essentials Plus Kit for 3 hosts (Max 2 processors per host),Phần mềm, Phần cứng ,  53.850.000 ,Phần mềm văn phòng
P-178,phần mềm Basic Support/Subscription VMware vSphere 6 Essentials Plus Kit for 3 year,Phần mềm, Phần cứng ,  31.630.000 ,Phần mềm văn phòng
P-179,"phần mềm Fortigate 200D - UTM Bundle (8x5 FortiCare plus NGFW, AV, Web Filtering, Botnet IP/Domain and Antispam Services)",Phần mềm, Phần mềm Bảo mật ,  22.630.000 ,Phần mềm Bảo mật
P-180,Phần mềm Autodesk AutoCAD LT 2018 Commercial New Single-user ELD 2-Year Subscription PROMO,Phần mềm, Phần mềm Bảo mật ,  5.390.000 ,Phần mềm văn phòng
P-181,Phần mềm SecurityPlus Renewal 100 User,Phần mềm, Khác ,  10.850.000 ,Phần mềm Bảo mật
P-182,Phần mềm Bluebeam Revu CAD Annual Maintenance (1-4 users),Phần mềm, Phần mềm văn phòng ,  2.870.000 ,Khác
P-183,Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER RENEWAL ESSENTIAL 12 MONTHS EXPRESS BAND A,Phần mềm, Phần mềm văn phòng ,  200.000 ,Phần mềm Bảo mật
P-184,Phần mềm VERITAS ESSENTIAL 12 MONTHS RENEWAL FOR BACKUP EXEC SERVER ED WIN STANDARD PERPETTUAL LICENSE CORPORATE,Phụ kiện,Phụ kiện,  2.180.000 ,Phụ kiện
P-185,Phần mềm Vision Pro for 1 Teacher + Unlimited Students,Phần mềm, Phần mềm server ,  18.200.000 ,Phần mềm văn phòng
P-186,phần mềm SQLCAL 2016 SNGL OLP NL UsrCAL,Phần mềm, Phần mềm Bảo mật ,  2.960.000 ,Phần mềm server
P-187,Phần mềm Autodesk Autodesk AutoCAD LT 2018 Commercial New Single-user ELD Annual Subscription PROMO,Phần mềm, Khác ,  2.870.000 ,Phần mềm văn phòng
P-188,Phí sử dụng phần mềm Exchange Online Kiosk -15 user - 10months,Phần mềm, Khác ,  4.560.000 ,Phần mềm văn phòng
P-189,Phần mềm Trend Micro Internet Security 3PC-2015,Phần mềm, Phần mềm server ,  170.000 ,Phần mềm Bảo mật
P-190,Phần mềm Trend Micro Internet Security 10 2016,Phần mềm, Phần mềm server ,  220.000 ,Phần mềm Bảo mật
P-191,Phần mềm excel 2016 Sngl OLP NL,Phần mềm, Phần mềm server ,  2.370.000 ,Phần mềm văn phòng
